"路径","Paths"
"雨水凹凸","Rain Bump"
"--油漆--","--PAINT--"
"1 号线","Line 1"
"1 号线长度","Line 1 Lenght"
"1 号线数量","Line 1 number"
"1 号线颜色","Line 1 Color"
"2 号线颜色","Line 2 Color"
"2 号线","Line 2"
"双线","Double Line"
"双线颜色","Double Color"
"双线分隔","Double Separation"
"油漆粗糙度","Paint Roughness"
"--裂缝--","--DAMAGE--"
"裂缝","DAMAGE"
"裂缝随机种","Damage Seed"
"--其它--","--OTHER--"
"替换坐标","Replace Coords."
"--瓷砖--","--TILES--"
"瓷砖粗糙度","Tile Roughness"
"油漆颜色 1","Paint Color 1"
"油漆颜色 2","Paint Color 2"
"油漆裂纹","Paint Cracks"
"破损","Damage"
"边缘破损","Border Damage"
"替换坐标","Replace Coord."
"--颜色--","--COLOR--"
"细节","DETAILS"
"--细节--","--DETAILS--"
"纹路","Prints"
"纹路比例","Prints Size"
"气泡比例","Air Bubbles Scale"
"气泡数量","Air Bubbles Amount"
"气泡遮罩","Air Bubbles Mask"
"平滑区域比例","Smooth Areas Size"
"平滑区域覆盖","Smooth Areas Cover"
"平滑区域粗糙度","Smooth Areas Roughness"
"裂缝比例","Damage Scale"
"裂缝高度","Damage Height"
"裂缝厚度","Damage Thickness"
"裂缝遮罩","Damage Mask"
"木板","PLANKS"
"--木板--","--PLANKS--"
"木板高度","Planks Height"
"木板宽度","Planks Width"
"木板偏移","Offset Planks"
"木板倾斜","Planks Tilt"
"圆角","Rounded Corners"
"灰浆高度","Mortar Height"
"边缘花纹","Boards Prints"
"边缘花纹比例","Boards Prints Size"
"--砖的破损--","--BRICKS DAMAGE--"
"破损比率","Broken Ratio"
"破损噪波系数","Broken Noise Factor"
"破损噪波缩放","Broken Noise Scale"
"破损锐度","Broken Sharpness"
"--石膏--","--PLASTER--"
"石膏破损","Plaster Damage"
"石膏颜色 1","Plaster Color 1"
"石膏颜色 2","Plaster Color 2"
"石膏粗糙度","Plaster Roughness"
"石膏裂缝","Plaster Cracks"
"水泥颜色","Cement Color"
"水泥粗糙度","Cement Roughness"
"霉变颜色","Mold Color"
"霉变系数","Mold Factor"
"尘垢","Grimes"
"尘垢系数","Grimes Factor"
"灰尘颜色","Dust Color"
"灰尘系数","Dust Factor"
"颜色预设 (3)","Color Presets (3)"
"边界锐度","Border Sharpness"
"油漆剥落","Paint Peel"
"油漆高度","Paint Height"
"--油漆细节--","--PAINT DETAILS--"
"尘垢颜色","Grimes Color"
"尘垢粗糙度","Grimes Roughness"
"污渍颜色","Stains Color"
"凹凸（小细节）","Bump (Small Details)"
"替换坐标","Replace Coords"
"--瓷砖表面--","--TILES SURFACE--"
"污垢颜色","Dirt Color"
"污垢系数","Dirt Factor"
"手工粗糙的","Rustic"
"污垢大小","Damage Size"
"--表面--","--SURFACE--"
"石膏颜色","Plaster Color"
"石膏 AO","Plaster AO"
"污渍颜色 1","Stain Color 1"
"污渍颜色 2","Stain Color 2"
"污渍颜色 3","Stain Color 3"
"--渗漏--","--LEAK--"
"渗漏","Leak"
"渗漏颜色","Leak Color"
"渗漏粗糙度","Leak Roughness"
"瓷砖底色","Tiles Tint"
"瓷砖高度","Tile Height"
"断端","Broken Ends"
"水泥飞溅","Cement Splatter Tiles"
"霉变","Mold"
"污垢","Dirtiness"
"--面板--","--PANELS--"
"面板高度","Panel Height"
"金属粗糙度","Metal Roughness"
"--灯光--","--LIGHTS--"
"灯光颜色","Lights Color"
"污垢","Grime"
"污垢颜色","Grime Color"
"污垢粗糙度","Grime Roughness"
"--风扇--","--FANS--"
"风扇颜色","Fan Color"
"风扇比例","Fan Scale"
"风扇数量","Fan Amount"
"风扇最小转速","Fan Min Speed"
"风扇最大转速","Fan Max Speed"
"蜂巢网格比例","Hex Grid Scale"
"灯光变化","Lights Variation"
"灯光缺失","Missing Lights"
"--面板细节--","--PANEL DETAILS--"
"蜂巢网格比例 (面板 0)","Hex Grid Scale (Panel 0)"
"横宽 (面板 1)","Cross Width (Panel 1)"
"开放式通风口 (面板1)","Open Vents (Panel 1)"
"螺钉尺寸","Screw SIze"
"拆卸面板","Remove Panels"
"--玻璃--","--GLASS--"
"灯光视差","Lights Parallax"
"更换灯光","Replace Lights"
"横宽 (面板 0)","Cross Width (Panel 0)"
"瓷砖尺寸 X","Tile Size X"
"瓷砖尺寸 Y","Tile Size Y"
"瓷砖倾斜率","Tilt Ratio"
"倾斜强度","Tilt Intensity"
"模式迭代","Pattern Iterations"
"--水--","--WATER--"
"--裂缝--","--CRACKS--"
"有裂缝的瓷砖","Tiles with cracks"
"联合","Unions"
"瓷砖颜色变化","Tiles Color Variation"
"瓷砖粗糙度","Tiles Roughness"
"--瓷砖形状--","--TILES SHAPE--"
"偏移行","Offset Row"
"圆角","Round. Corners"
"瓷砖轮廓","Tiles Profile"
"--瓷砖详情--","--TILES DETAILS--"
"瓷砖表面","Tiles Surface"
"轮廓噪波","Profile Noise"
"轮廓噪波比例","Profile Noise Scale"
"损坏纹理比例","Damage Texture Scale"
"损坏强度","Damage Intensity"
"--地面--","--GROUND--"
"地面粗糙度","Ground Roughness"
"地面纹理","Ground Texture"
"地面纹理比例","Ground Texture Scale"
"地面不平整","Ground Uneeven"
"霉菌/灰尘","Mold/Dust"
"霉菌/灰尘颜色","Mold/Dust Color"
"--石头--","--STONES--"
"环境光遮蔽 AO","Ambient Occlussion"
"--石头形状--","--STONES SHAPE--"
"--倒角--","--BEVEL--"
"--倾斜--","--TILT--"
"--碎石--","--BROKEN STONES--"
"位移","Shift"
"噪波细节","Noise Detail"
"噪波系数","Noise Factor"
"裂缝比例","Cracks Scale"
"有裂缝的石头","Stones with cracks"
"--泄漏--","--LEAKS--"
"粗糙度油渍","Roughness Grunge"
"最小糙度","Min Roughness"
"天马行空","Doodles"
"鸡蛋颜色","Eggs Color"
"鸡蛋数量","Eggs Amount"
"开裂的蛋","Cracked Eggs"
"剥落","Peel"
"--纹理--","--TEXTURE--"
"H 分辨率","H Resolution"
"V 分辨率","V Resolution"
"转角圆度","Corners Roundness"
"--闪烁--","--FLICKERING--"
"闪烁速度","Flicker Speed"
"最小亮度","Min Brightness"
"--线框--","--WIRES--"
"线框自发光","Wires Emission"
"--表面--","--FACES--"
"表面颜色","Face Color"
"表面自发光","Faces Emission"
"--动画--","--ANIMATE--"
"颜色最大尺寸","Color Max Size"
"黑色范围","Black Range"
"黑色最大尺寸","Black Max Size"
"--映射--","--MAPPING--"
"--图案--","--PATTERN--"
"旋转纹理","Rotate Texture"
"效果激活","Effect Activation"
"贴图映射","--IMAGE MAPPING--"
"矢量(图案)","Vector (Pattern)"
"矢量(图像)","Vector (Image)"
"Stoke 比例","Stroke Scale"
"Stoke 变化","Stoke Variation"
"扭曲","Ttwist"
"--效果控制--","--EFFECT CONTROL--"
"主比例","Main Scale"
"效果强度","Effect Intensity"
"油漆缩放","Paint Zoom"
"边界限制","Border Limit"
"--映射--","--Mapping--"
"周期时间","Cycle Duration"
"--皮肤--","--SKIN--"
"--皮肤细节--","--SKIN DETAILS--"
"痣/雀斑颜色","Moles/Freckles Color"
"痣","Moles"
"雀斑","Freckles"
"次表面","--SUBSURFACE--"
"伪次表面","Fake Subsurface"
"--滚动--","--SCROLL -- "
"滚动 X","Scroll X"
"滚动 Y","Scroll Y"
"--卵石--","--PEBBLES--"
"大数量","Big amount"
"小数量","Small amount"
"潮湿边界","Wet Border"
"染色噪波","Tint Noise"
"--头发--","--HAIR--"
"起伏 A","Ondulation A"
"起伏 B","Ondulation B"
"--熔岩--","--LaVa--"
"熔岩水平","Lava level"
"气泡","--BUBBLES--"
"气泡大小","Bubble Size"
"气泡轮廓 ","Bubble Profile"
"--透射--","--TRANSMISSION--"
"--织物--","--FABRIC--"
"织物颜色 1","Fabric Color 1"
"织物颜色 2","Fabric Color 2"
"颜色变化 2","Color Variation 2"
"细线","--THREAD--"
"频率","Frecuency"
"--穿孔--","--PERFORATION--"
"--织物细节--","--FABRIC DETAILS--"
"--磨损--","--WEAR--"
"磨损比例","Wear Scale"
"磨损强度","Wear Intensity"
"细线颜色","Thread Color"
"--条纹--","--STRIPES--"
"条纹颜色","Stripes Color"
"--皮革--","--LEATHER--"
"破损粗糙度","Dmg Roughness"
"破损颜色","Damage Color"
"皮革凹凸","Leather Bump"
"--印记--","--MARKS--"
"--划痕--","--SCRATCHES--"
"划痕厚度","Scratches Thickness"
"--磨损边缘 (CYCLES)--","--WORN EDGES (CYCLES)--"
"--单元格--","--CELLS--"
"单元格轮廓","Cell Profile"
"色彩 3","Color3"
"--蜂巢状--","--HEX--"
"--光泽--","--SHEEN--"
"天鹅绒颜色","Velvet Color"
"行噪波","Row Noise"
"--间隙--","--GAP--"
"间隙透明","Gap Transparent"
"--纹理开关--","--TEXTURE SWITCH--"
"颜色/纹理","Color / Texture"
"--纤维--","--FIBERS--"
"纤维颜色","Fibers Color"
"纤维透明度","Fibers Alpha"
"纤维比例","Fibers Scale"
"纤维强度","Fibers Intensity"
"食物","Food"
"--巧克力--","--CHOCOLATE--"
"巧克力色","Chocolate Color"
"--坚果--","--NUTS--"
"坚果","Nuts"
"坚果颜色","Nuts Color"
"遮盖","Cover"
"--波纹--","--RIPPLES--"
"纹理 (基于UV)","Texture (UV Based)"
"--肉--","--MEAT--"
"--烧痕--","--BURN MARKS--"
"烧痕","Burn Marks"
"烧痕高度","Burn Marks Height"
"烧痕数量","Burn Marks Amount"
"--映射--","--MAPPPING--"
"纹理比例","Texture Ratio"
"--冰淇淋--","--ICE CREAM--"
"冰淇淋颜色 1","Ice-Cream Color 1"
"冰淇淋颜色 2","Ice-Cream Color 2"
"冰淇淋 SSS","Icecream SSS"
"--酱汁--","--SAUCE--"
"酱汁颜色","Sauce Color"
"酱汁粗糙度","Sauce Roughness"
"酱汁 SSS","Sauce SSS"
"酱汁位置","Sauce Position"
"酱汁数量","Sauce Amount"
"酱汁厚度","Sauce Thickness"
"--颗粒--","--PARTICLES--"
"颗粒颜色","Particle Color"
"颗粒粗糙度","Particles Roughness"
"颗粒 SSS","Particles SSS"
"颗粒尺寸","Particles Size"
"颗粒数量","Particles Amount"
"凹凸(小细节)","Bump (Small Detail)"
"光线穿透","Light Through"
"阴影对比度","Shadow Contrast"
"玻璃厚度","Glass Thickness"
"光线乘数","Light Multiplier"
"--色散--","--DISPERSION--"
"玻璃色散","Glass Dispersion"
"阴影色散","Shadow Dispertion"
"--色散纹理--","--DISPERSION TEXTURE--"
"混合 1","Mix 1"
"混合 1 比例","Mix 1 Scale"
"混合 2","Mix 2"
"阴影色散","Shadow Dispersion"
"金属","Metals"
"双色","Duochromatic"
"--表面细节--","--SURFACE DETAILS--"
"涂层","Coated"
"--金属--","--METAL--"
"--铜绿--","--PATINA--"
"铜绿","Patina"
"铜绿颜色","Patina Color"
"铜绿粗糙度","Patina Roughness"
"着色","Accent"
"着色频率","Accent Frecuency"
"分隔","separation"
"色彩老化","Color Aging"
"表面纹理","Surface Texture"
"--边缘表面--","--EDGE SURFACE--"
"边缘颜色","Edges Color"
"边缘粗糙度","Edges Roughness"
"边缘半径","Edges Radius"
"边缘系数","Edges Factor"
"AO 表面","--AO SURFACE--"
"AO 遮罩颜色","AO Mask Color"
"AO 遮罩混合","AO Mask Blend"
"AO 遮罩金属度","AO Mask Metallic"
"AO 遮罩局部","AO Mask Local"
"AO 遮罩粗糙度","AO Mask Roughness"
"AO 遮罩系数","AO Mask Factor"
"--沉淀物表面--","--SETTLING SURFACE--"
"N 遮罩颜色","NMask Color"
"N 遮罩混合","NMask Blend"
"N 遮罩金属度","NMask Metallic"
"N 遮罩粗糙度","NMask Roughness"
"N 遮罩系数","NMask Factor"
"剥离进程","Peel Progress"
"--铁锈--","--RUST--"
"铁锈/金属","Rust / Metal"
"--退色--","--WEATHERING--"
"铁锈进程","Rust Progress"
"油漆金属度","Paint Metallic"
"油漆凹凸","Paint Bump"
"金属凹凸","Metal Bump"
"磨损纹理比例","Worn Textur Scale"
"磨损纹理细节(重度)","Worn Texture Detail (Heavy)"
"磨损纹理种子","Worn Texture Seed"
"--边缘--","--EDGES--"
"划痕数量","Scratches Amount"
"划痕种子","Scratches Seed"
"污垢颜色","DirtColor"
"污垢凹凸","Dirt Bump"
"锈蚀活化","Rust Activation"
"铁锈颜色 1","Rust Color1"
"铁锈颜色 2","Rust Color2"
"铁锈粗糙度","Rust Roughness"
"铁锈纹理比例","Rust Texture Scale"
"铁锈种子","Rust Seed"
"铁锈细节(重)","Rust Detail (heavy)"
"铁锈凹凸","Rust Bump"
"--凹陷--","--DENTS--"
"细节(重)","Detail (Heavy)"
"凹痕凹凸","Dents Bump"
"抛光边缘","Polished Edges"
"边缘纹理缩放","Edge Textur Scale"
"划痕凹凸","Scratches Bump"
"AO 污垢距离","AO Dirt Distance"
"AO 污垢边界","AO Dirt Btend"
"AO 污垢强度","AO Dirt Intensity"
"沉淀污垢","Settling Dirt"
"污垢细节(重)","Dirt Detail (Heavy)"
"凹痕数量","Dents Amount"
"凹痕缩放","Dents Scale"
"凹痕种子","Dents Seed"
"凹痕细节(重)","Dents Detail (Heavy)"
"凹凸乘数","Bump Multiplier"
"--砂子--","--SAND--"
"砂子缩放","Sand Scale"
"砂子颜色","Sand Color"
"闪亮系数","Shiny Factor"
"--地形--","--TERRAIN--"
"地形种子","Terrain Seed"
"地形比例","Terrain Scale"
"地形高度","Terrain Height"
"--贝壳--","--SHELLS--"
"贝壳种子","Shells Seed"
"贝壳缩放","Shells Scale"
"贝壳数量","Shells Number"
"贝壳平衡","Shells Balance"
"贝壳高度","Shells Height"
"喷漆","Spray Paint"
"粒子种子","Particles Seed"
"着色 1","Accent 1"
"着色 2","Accent 2"
"着色 3","Accent 3"
"波浪高度","Waves Height"
"波浪数量","Waves Amount"
"倒角半径(法线)","Bevel Radius (Normal)"
"气泡比例","Bubbles_Scale"
"泡沫底色","Foam Tint"
"气泡底色","Bubbles Tint"
"气泡透明度","Bubbles Transparency"
"置换","Dsiplacement"
"混合距离","Blend Distance"
"--彩虹色--","--IRIDESCENCE--"
"彩虹色强度","Iridescence Intensity"
"彩虹色动画","Iridescence Animation"
"油漆噪波"," Paint Noise"
"粗糙度 1","Roughnees 1"
"油漆边界","Paint Borders"
"垂直/水平","Vertical / Horizontal"
"条纹频率","Stripes Frecuency"
"条纹扭曲(垂直)","Stripes Twist (vertical)"
"中心厚度","Center Tickness"
"端点厚度","Endpoints Tickness"
"--覆盖--","--COVER--"
"顶部覆盖","Top Cover"
"底部覆盖","Bottom Cover"
"覆盖波纹","Cover Ripples"
"垂直/同心","Vertical / Concentric"
"表面细节缩放","Surface Detail Scale"
"--干燥控制--","--DRY CONTROL--"
"干燥变色","Dry Color Change"
"--指纹--","--FINGERPRINTS--"
"指纹","Fingerprints"
"指纹缩放","Fingerprints Scale"
"崎岖度","Bumpy"
"替换坐标","Replace coords."
"替换指纹坐标","Replace Fingerprint Coords."
"--表面细节--","--SURFACE DETAIL--"
"细节强度","Detail Str"
"划痕旋转","Scratches Rotation"
"划痕淡化","Scratches Fade"
"划痕混合","Scratches Blend"
"颜色强度","Color Intensity"
"透明度混合","Transparency Blend"
"虚线 (图案0)","Dashed Line (Pattern 0)"
"--背景--","--BACKGROUND--"
"背景颜色","BG Color"
"背景金属度","BG Metallic"
"背景粗糙度","BG Roughness"
"--网格--","--GRID--"
"网格金属度","Grid Metallic"
"网格粗糙度","Grid Roughness"
"绳索和电缆","Ropes And Cables"
"AO 颜色","AO Color"
"--电缆--","--CABLES--"
"主电缆","Main Cables"
"小电缆","Small Cables"
"--水晶--","--CRYSTAL--"
"表面粗糙度","Sourface Roughness"
"清晰度","Clarity"
"吸收密度","Absorption Density"
"形状种子","Shape Seed"
"焦散强度","Caustics Str"
"形状比例","Shape Ratio"
"--黑点--","--DARKER SPOTS--"
"斑点颜色","Spots Color"
"擦亮","Polished"
"--粗糙度--","--ROUGHNESS--"
"--脉络--","--VEINS--"
"脉络","Veins"
"脉络纹理","Veins Texture"
"--霉变--","--MOLD--"
"霉变距离","Mold Distance"
"风格化","Stylized"
"--水下--","--UNDERWATER--"
"水下开关","Underwater Switch"
"水下颜色","Underwater Color"
"动画焦散","animate caustics"
"地面扭曲","Ground Distortion"
"地面高度","Ground Height"
"地面线条","Ground Lines"
"--元素--","--ELEMENTS--"
"石头数量","Stones amount"
"贝壳颜色 1","Shells Color 1"
"贝壳颜色 2","Shells Color 2"
"蜗牛颜色 1","Snails Color 1"
"蜗牛颜色 2","Snails Color 2"
"星色 1","Star Color 1"
"星色 2","Star Color 2"
"元素高度","elements height"
"木板宽度","Plank Width"
"木板高度","Plank Height"
"板材轮廓","Plank Profile"
"--指甲--","--NAILS--"
"指甲","Nails"
"指甲颜色","Nails Color"
"指甲数量","Nails Ammount"
"指甲种子","Nails Seed"
"合成纤维","Synthetics"
"--颗粒--","--GRAIN--"
"颗粒","Grain"
"颗粒比例","Grain Scale"
"--清漆---","--CLEARCOAT---"
"颗粒颜色","Particles Color"
"金属颗粒比率","Metal Particles Ratio"
"金属颗粒粗糙度","Metal Particles Roughness"
"--透明涂层--","--CLEARCOAT--"
"单元格颜色变化","Cell Color Variation"
"单元格粗糙度变化","Cell Roughness Variation"
"表面气泡","Surface Bubbles"
"--层--","--LAYERS--"
"层频率","Layers Frecuency"
"--表面细节--","---SURFACE DETAILS--"
"污垢颗粒","Dirt Particles"
"划痕数量","scratches ammount"
"表面纹理","Surface texture"
"塑料颜色","Plastic Color"
"塑料粗糙度","Plastic Roughness"
"破损粗糙度","Damage Roughness"
"AO 污垢混合","AO Dirt Blend"
"--孔洞--","--HOLES--"
"孔洞纹理大小","Holes Texture Size"
"孔洞深度","Holes Depth"
"微置换尺寸","Micro Displacement Size"
"微置换高度","Micro Displacement Height"
"缩放 w/距离（否/是）","Scale w/ Distance (no/yes)"
"--基础色--","--BASE COLOR--"
"--绿光--","--GREEN LIGHT--"
"--红光--","--RED LIGHT--"
"距离比例","--SCALES WITH DISTANCE--"
"距离比例","Scales with Distance"
"深色","Dark Color"
"第 1 步","1st Step"
"第 2 步","2nd Step"
"第 3 步","3rd Step"
"最深厚度","Darkest Thickness"
"最浅厚度","Light Thickness"
"单线方向 (0 or 1)","Single Line Direction (0 or 1)"
"笔划扭曲","Stroke Distortion"
"纹理旋转","Texture Rotation "
"纹理厚度","Texture Thickness"
"渲染轮廓 (1 = 是)","Render Outline (1 = YES)"
"亮度","Brighness"
"--涂抹--","--STROKE--"
"--焦散--","--CAUSTICS--"
"污垢颗粒比例","Dirt Particles Scale"
"--表面形状--","--SURFACE SHAPE--"
"表面噪波大小","Surface Noise Size"
"表面噪波大小","Surface Noise Height"
"实心中心 (不适用于平面)","Solid Center (Not for flat surfaces)"
"--细节--","----DETAILS--"
"--水滴--","--DROPS--"
"水滴重力","Drops Gravity"
"中心气泡 (不适用于平面)","Center Bubbles (Not for flat surfaces)"
"--细节--","---DETAILS--"
"破损","Dmage"
"--深度冻结--","--DEEP FREEZE--"
"深度冻结量","Deep Freeze Amount"
"深度冻结硬度","Deep Freeze Hardness"
"噪波极限","Limit noise"
"--涟漪和波浪--","--RIPPLES & WAVES--"
"波浪比例","Waves scale"
"水的运动","Water Movement"
"水的凹凸","Water Bump"
"涟漪凹凸","Ripples Bump"
"X 平铺","X Tiling"
"Y 平铺 (水滴长度)","Y Tiling (drops lenght)"
"长度变化","Lenght variation"
"小水滴平铺","Small Drops Tiling"
"小水滴数量","Small Drops amount"
"小水滴移动","Small Drops Move"
"--动画--","--ANIMATION--"
"速度变化","Speed Variation"
"--结--","--KNOTS--"
"更黑的结","Knots Darker"
"--偏移纹理--","--OFFSET TEXTURE--"
"结比例","Knots Scale"
"结数量","Knots Amount"
"结强度","Knots Intensity"
"--随机中心--","--RANDOM CENTER--"
"随机中心位置","Random Center Position"
