确定通过评估几何体上的边界产生的权重的重要性。,Determines importance of weights generated by evaluating the boundaries on the geometry.
确定通过评估 UV 空间产生的权重的重要性。,Determines importance of weights generated by evaluating the UV space.
确定通过评估切线空间产生的权重的重要性。,Determines importance of weights generated by evaluating the tangent space.
确定通过评估几何体生成的权重的重要性。,Determines importance of weights generated by evaluating the geometry.
确定通过评估骨架和顶点骨骼影响产生的权重的重要性。,Determines importance of weights generated by evaluating the skeleton and vertex bone influences.
启用网格比例归一化以适应 1000u 边界球。当使用 NormalizeMeshScale（网格比例归一化）时，MaxDeviation（最大偏差）将指定为百分比值。,"Enables normalization of the mesh scale to fit a 1000u bounding sphere.\nWhen using NormalizeMeshScale, MaxDeviation is specified as a percentage value.\nThis should be enabled when automatically processing data with unpredictable scene scales.\nOtherwise, it is recommended to use UnitScaleFactor."
叶骨焊接距离。如果叶骨与其父代的焊接距离低于指定阈值，则会被剔除。,Leaf bone weld distance. Leaf bones with a distance to their parent under the specified threshold will be culled.
在层次结构中低于指定级别的骨骼将被删除。,Bones that are below the specified level in the hierarchy will be removed.
每个顶点影响骨骼的最大数量。如果一个顶点引用的骨骼数量超过允许的数量，则会首先移除影响最小的骨骼。,"The maximum amount of bone influences per vertex. If a vertex references more bones than allowed, the lowest bone influences will be removed first."
骨骼影响的最小阈值。低于阈值的影响将被移除。,The minimum threshold for bone influences. Influences that fall below the threshold will be removed.
与指定正则表达式匹配的关节名将不会被删除。忽略的关节父层次结构也将保留。,Joint names matching the specified regular expression will not be culled. The ignore joint parent hierarchy will also be preserved.
输出纹理宽度,The output texture width.
输出纹理高度。,The output texture height.
两个 UV 外壳之间的最小距离（像素）。,The minimum distance between two UV shells in pixels.
堆叠重复外壳,Stack Duplicate Shells
输入 UV 集索引。,The input UV set index.
输出 UV 集索引。,The output UV set index.
插入法线分割,Insert Normal Splits
启用允许旋转 UV 壳以改善打包效果。禁用旋转会导致某些情况无法打包。,Enable to allow shells to be rotated for improved packing. Disabling rotations can cause certain scenarios to be unpackable.
为不共享相同顶点法线的边缘插入 UV 外壳分割。这可以提高在法线分割较多的几何体上渲染法线贴图时的质量。,Insert UV shell splits for edges that do not share the same vertex normal. This improves the quality when rendering normal maps on normal split heavy geometry.
应用于解包的缩放因子。,A scale factor to apply to the unwrap.
解包策略,Unwrap Strategy
解包时使用的策略。,Strategy used during unwrap.
解包过程中 UV 空间拉伸的重要性。关：允许高度拉伸，最高：不允许拉伸。,"The importance of UV space stretch during the unwrap. Off: high levels of stretch allowed, Highest: no stretching allowed."
[预览] 执行后处理以尽量减少 UV 外壳数量。,[Preview] Performs a post-process to minimize the UV shell count.
当 ,When 
','
模式,Mode
自动内饰： 自动移除内部表面。该模式旨在对单个物体进行操作，不太适合大型场景： 添加到操作中的相机将用于确定遮挡的表面。,"AutomaticInterior: Automatically remove interior surfaces. This mode is designed to operate on individual objects, it is less suited for large scenes.\nCameraBased: Cameras added to the operation will be used to determine occluded surfaces."
光栅化的分辨率：较高的分辨率可以减少因子像素不精确而遗漏的面的数量，从而提高质量。,"The resolution of the rasterization.\nHigher resolutions improve quality by reducing the amount of missed faces due to subpixel inaccuracies.\nDense geometry benefits from a higher resolution.\nHowever, a low resolution can be accommodated by increasing the "
如果子网格,A submesh is marked visible if it
反面不会遮挡几何体。当禁用时，反面会遮挡几何体。,"Backfaces will not occlude geometry. When disabled, backfaces will occlude geometry."
Alpha 遮罩值等于或低于此阈值时，将被视为透明。,Alpha mask values equal or below this threshold will be considered transparent.
删除策略,Culling Strategy
指定要删除的几何体类型： 按子网格剔除： \nBy Polygon Adjacency： 根据顶点邻接关系自动生成的子网格。,"Specifies what kind of geometry will be removed.\nBy Polygon: Cull occluded individual faces.\nBy Submesh: Cull occluded submeshes, submeshes based on individual meshes added to the operation.\nBy Polygon Adjacency: Cull occluded submeshes, submeshes automatically derived from vertex adjacency."
数据用法,Data Usage
指定如何使用闭塞数据： 移除遮挡的几何体： 写入顶点颜色：将遮挡数据写入顶点颜色设置 0： 将遮挡数据作为优化器权重写入顶点颜色设置 0。,Specifies how the occlusion data will be used.\nRemove Geometry: Remove occluded geometry.\nWrite Into Vertex Colors: Write occlusion data into vertex colors set 0.\nWrite As Optimizer Weights: Write occlusion data as optimizer weights into vertex colors set 0.
精度,Precision
自动内部剔除的精度。,The precision of the automatic interior culling.
将优化器权重写入顶点颜色时的优化器权重值。,Optimizer weight value when writing optimizer weights as vertex colors.
InstaLOD 生成的渲染图像的可选输出路径。,Optional output path for render images generated by InstaLOD.
与半透明网格后缀相匹配的网格名称将在光线追踪器中被标记为半透明。,Mesh names that match the translucent mesh suffix will be marked translucent for the ray tracer.\nTranslucent surfaces can also be setup when using textures with an alpha channel.\nWhen not using a 
确定网格合并模式： 将选定网格的所有输入 UV 重新打包到输出 UV 中，并合并所有纹理数据： 将纹理数据从输入 UV 集转移到输出 UV 集。,Determines the mesh merge mode.\nAutoRepack: Repacks all input UVs of the selected meshes into the output UV set and combines all texture data.\nTransfer: Transfers texture data from the input UV set to the output UV set.
将引用相同材质 ID 的重复 UV 外壳放在彼此之上，以节省 UV 空间。,Places duplicate UV shells referencing the same material ID on top of each other to save UV space.
确定通过评估所占 UV 空间生成的权重的重要性。,Determines importance of weights generated by evaluating occupied UV space.
确定通过评估世界空间几何体生成的权重的重要性。,Determines importance of weights generated by evaluating world space geometry.
确定通过评估输入纹理尺寸生成的权重的重要性。,Determines importance of weights generated by evaluating input texture dimensions.
确定通过评估视觉重要性（光线追踪）生成的权重的重要性。,Determines importance of weights generated by evaluating visual importance (raytraced).
根据世界空间比例对 UV 外壳进行归一化处理。,Normalize UV shells according to worldspace scale.
为 0 面积三角形创建基本 UV，以便复制纯色信息。,Creates a basic UV for 0-area triangle to allow copying solid color information.
面积小于或等于此值的 UV 面将被视为零面积。,UV faces with an area smaller or equal to this value will be considered zero area.
确定冒名顶替者的类型。,Determines the type of the imposter.
与指定后缀相匹配的网格名称将被视为自定义植入几何体。,Mesh names matching the specified suffix will be treated as custom imposter geometry.
为每个旋转轴生成的翻页相框数量。\注：默认情况下，翻书,The amount of flipbook frames to generate for each rotation axis. \nNOTE: By default the flipbook
AABB 冒号面将沿面法线位移指定值（以世界空间单位表示）。,AABB imposter faces will be displaced along the face normal by the specified value in world space units.
为输入几何体 AABB 的 XY 轴生成的四边形数量。额外的四边形将沿 Y 轴旋转 180deg/count 。,The amount of quads to spawn for the XY axis of the input geometry AABB. Additional quads will be rotated by 180deg/count along the Y axis.
为输入几何体 AABB 的 XZ 轴生成的四边形数量。其他四边形将沿 Z 轴旋转 180 度/个。,The amount of quads to spawn for the XZ axis of the input geometry AABB. Additional quads will be rotated by 180deg/count along the Z axis.
为输入几何体 AABB 的 YZ 轴生成的四边形数量。其他四边形将沿 Z 轴以 180deg/count 的幅度旋转。,The amount of quads to spawn for the YZ axis of the input geometry AABB. Additional quads will be rotated by 180deg/count along the Z axis.
如果启用，四边形的每一边都将生成多边形。,"If enabled, quads will generate polygons for each side of a quad."
应用于输入几何体 AABB 的世界空间填充。,World space padding that is applied to the input geometry AABB.
沿 U 轴细分，用于广告牌仿冒。,Subdivisions along the U axis for billboard imposters.
沿 V 轴细分广告牌。,Subdivisions along the V axis for billboard imposters.
生成 XY 轴四边形,Spawn XY axis quads.
生成 XZ 轴四边形,Spawn XZ axis quads.
生成 YZ 轴四边形。,Spawn YZ axis quads.
为云冒充网格生成的最大网格面数。,The maximum amount of faces to spawn for cloud imposter.
在创建混合广告牌云仿真器时，与指定后缀匹配的网格名称将用于多边形网格输出。,Mesh names matching the specified suffix will be used for polygonal mesh output when creating a hybrid billboard cloud imposter.
面的数量占 ,The amount of faces in percentage of the 
应用于云纹饰的面法线，使用 CloudNormalConformity 控制强度。,"The face normal to apply to cloud imposters, used CloudNormalConformity to control strength."
控制云假象与云法线的一致性。,Controls the conformity of the cloud imposters to the Cloud Normal.
通过切除不透明形状来移除透明区域。,Removes transparent areas by cutting out the opaque shape.
Alpha 切除的分辨率。,The resolution for the alpha cutout.
根据 AlphaCutResolution 对剪切结果进行细分。,Subdivides the cutout result based on the AlphaCutResolution.
烘焙引擎,Bake Engine
烘焙引擎。如果所选的烘焙引擎不可用，InstaLOD 将恢复使用 CPU 烘焙引擎。,"The bake engine. If the selected bake engine is not available, InstaLOD will revert to the CPU baker."
决定输出曲面的构建方式。,Determines how the output surface will be constructed.
在这种情况下，可以使用手动放置的遮蔽几何体来隐藏这些孔洞。,"If the input geometry is not watertight due to small holes or gaps, InstaLOD will construct a mesh that contains interior faces.\nIn such cases manually placed occlusion geometry can be used to conceal these holes."
烘焙网格不会影响曲面的构建，但可以用来在构建的曲面上烘焙额外的几何体。,"Bake meshes do not influence the surface construction, but can be used to bake additional geometry onto the constructed surface."
注意：如果面的法线没有指向外侧，这可能会在构建的几何体中产生孔洞。,Ignores backfaces during surface construction.\nNOTE: This can cause holes in the constructed geometry if face normals are not pointing outwards.
输出几何体的模糊面数目标。,The fuzzy face count target of the output geometry.
分辨率,Resolution
曲面构建的分辨率。分辨率为 ^3，因此内存和处理时间会呈指数增长。,The resolution of the surface construction.\nThe resolution is ^3 so memory and processing time grows exponentially.
目标网格的最大多边形数量。,The maximum amount of polygons for the target mesh.
根据输出模型的显示尺寸计算需要去除的多边形数量。,Calculates the amount of polygons to remove based on the display size of the output model.
在计算输出网格的法线时，如果法线角度低于此值（单位：度），则会平滑网格面。,"When calculating normals for the output mesh, smooth faces if the normal angle is below this value (in degrees)."
焊接距离可用于在输入的几何体上焊接孔洞。,The welding distance can be used to weld holes in the input geometry.\nThe welded mesh is only used for the surface construction it is not used during baking.
增加或减少烘烤时使用的自动计算射线长度的系数。,Factor to increase or decrease the automatically calculated ray length used during bake.
如果输入的几何体因为有小孔或缝隙而不密封，InstaLOD 会构建一个包含内部面的网格。在这种情况下，可以使用手动放置的遮挡几何体来隐藏这些孔洞。,"If the input geometry is not watertight due to small holes or gaps, InstaLOD will construct a mesh that contains interior faces. In such cases manually placed occlusion geometry can be used to conceal these holes.\n\nAlternatively, automatic occlusion geometry can be built by InstaLOD to avoid interior faces from being built. Using automatic occlusion geometry is designed to fill small holes and gaps. Attempting to close large holes using automatic occlusion geometry may result in a degraded surface quality. However, enabling automatic occlusion geometry will result in a dramatically increased processing time."
使用目标网格的平均面法线作为射线方向。,Use averaged face normals of the target mesh as ray directions.
启用后仅焊接边界顶点。,Enable to weld boundary vertices only.
如果设置的值大于 0，如果一个多边形有两个或两个以上的共用角，则会自动删除退化角。,"If set to a value > 0, automatically removes degenerates if two or more corners are shared for a polygon."
翻转网格的卷绕顺序。,Flips the winding order of the mesh.
统一楔形法线的方向。,Unifies the direction of the wedge normals.
统一多边形的卷绕顺序。,Unifies the polygon winding order.
填充网格中的所有孔洞。,Fill all holes in the mesh.
应用于输入几何体的细分模式。,The mode of subdivision applied to the input geometry.
细分级别,Subdivision level
如果设置为 >0，则自动移除边界球半径小于阈值的所有子网格（由相邻关系决定）。,"If set to a value > 0, automatically remove all submeshes (determined by adjacency)\nwhere the bounding sphere radius is below the threshold."
如果设置为 > 0，则自动移除所有面积小于指定值的面。,"If set to a value > 0, automatically remove all faces with an area smaller than the specified value."
根据相邻关系计算新的面子网格指数。,Calculate new face submesh indices based on adjacency.
根据指定的材料计算新的面子网格指数。,Calculate new face submesh indices based on assigned materials.
为输入网格创建凸壳。,Enable to create a convex hull for the input mesh.
纹理页取样时使用的源网格 UV 通道。,The UV channel of the source mesh used when sampling texture pages.
启用纹理页面固化以避免像素出血。,Enables solidification of texture pages to avoid pixel bleed.
超级采样,Super Sampling
启用纹理页的超级采样。注意：超级采样会导致内存使用量和处理时间呈指数增长。,Enables super sampling of texture pages.\nNOTE: super sampling causes an exponential increase in memory usage and processing time.
纹理过滤器,Texture Filter
纹理采样时使用的纹理过滤。,The texture filtering used when sampling textures.
用于避免 mipmap 像素出血的扩张尺寸。,The dilation size to avoid mipmap pixel bleed.
按 AABB 归一化位置,Normalize Position By AABB
此设置取决于您的渲染器/引擎计算切线基础的方式。虚幻引擎：开启，Unity：关闭,"This settings depends on how your renderer/engine computes the tangent basis.\nUnreal Engine: on, Unity: off"
此设置取决于您的渲染器/引擎计算正切基准的方式。,"This settings depends on how your renderer/engine computes the tangent basis.\nUnreal Engine: off, Unity: off"
自动计算的切线空间的输出类型。,The output type of the automatically computed tangent space.
输出 ,Output 
输出反射贴图（8bpp LUMINANCE）。,Output Reflectance Map (8bpp LUMINANCE).
附在材质通道上的输出纹理。,Output textures attached to material channels.
颜色集 1 纹理页名称（Color Set 1 Texture Page Name）。,Color Set 1 Texture Page Name.
颜色集 2 纹理页名称（Color Set 2 Texture Page Name）。,Color Set 2 Texture Page Name.
颜色设置 3 纹理页名称（Color Set 3 Texture Page Name）。,Color Set 3 Texture Page Name.
颜色设置 4 纹理页面名称。,Color Set 4 Texture Page Name.
曲率贴图细节的可见性。,Visibility of details on the curvature map.
启用基于单个源网格计算网格 ID。,Enable to calculate MeshID based on individual source meshes.
射线长度（以网格边界球的百分比为单位）。,Ray length in percent of the bounding sphere of the mesh.
AO 值的缩放因子。,Scale factor for AO value.
曲面偏移，以网格边界球的百分比为单位。,Surface offset in percent of the bounding sphere of the mesh.
采样锥的最小角度 0 = 180 度，1 = 0 度。,"Minimum angle for sampling cone 0 = 180deg, 1 = 0deg."
按距离衰减 AO 值。,True to attenuate AO values by distance.
随机化每个采样的偏差，这将导致常见的噪点外观。,"Randomizes the deviation for each sample, this results in the common noisy appearance."
每个像素的子射线投射量。,The amount of sub rays to cast for each pixel.
模糊内核的大小。设为 0 则禁用。,The size of the blur kernel. Set to 0 to disable.
采样类型,Sampling Type
生成光线方向时使用的采样类型。,The sampling type used when generating ray directions.
高光/阴影检测的衰减大小。,The falloff size for highlight/shadow detection.
启用可输出全范围位移贴图。这将在输出图像中把位移贴图中的最低点映射为 0，最高点映射为 1。,Enable to output a full range displacement map. This maps the lowest point in the displacement map to 0 and the highest to 1 in the output image.
启用纹理页面渲染。,Enables delighting of the texture pages.
检测阴影或高光区域时的内核大小（像素）。,The kernel size in pixels when detecting shadow or highlight areas.
渲染的整体强度。,The overall strength of the delighting.
高光去除强度。,The highlight removal strength.
默认输出纹理宽度。,The default output texture width.
默认输出纹理高度。,The default output texture height.
InstaLOD 生成纹理的输出路径。,Output path for textures generated by InstaLOD.
使用 InstaLOD 脚本内置变量的输出文件名格式。,The output filename format using InstaLOD Script built-in variables.
用于 JPEG 等纹理格式的压缩质量。质量值越低，文件越小。,The compression quality used for texture formats such as JPEG. Lower quality values reduce the file.
文件格式,File Format
导出指定位深度纹理时的输出格式。,The output format when exporting texture of the specified bit depth.
着色模型,Shading Model
导出场景时，使用指定类型的材质。选择,"When exporting a scene, materials of the specified type are used. Select \"
选择自定义纹理页配置。,Select custom texture page configuration.
启用自定义纹理页配置文件。,Enable the custom texture page configuration file.
强制输出纹理尺寸与默认宽度和高度相匹配。,Forces the output texture size to match the default width and height.
符合指定正则表达式（ECMA，忽略大小写）的网格将被视为源网格。,"Meshes matching the specified regular expression (ECMA, ignore-case) will be considered as source mesh."
与后缀匹配的网格将被视为目标网格。后缀将被截断，由此产生的字符串将构成网格名称，用于识别匹配的源网格。\举例说明： ,Meshes matching the suffix will be considered as target mesh.\nThe suffix will be truncated and the resulting string will form the mesh name that is used to identify matching source meshes. \nExample: 
指定后缀的网格将被用作笼状网格。,Meshes with the specified suffix will be used as cage mesh.
计算射线方向时使用笼状网格法线，而不是目标网格法线。,Use cage mesh normals when computing ray directions instead of the target mesh normals.
向外的射线长度（以源网格边界球的百分比表示）。,Outwards ray length in percentage of the bounding sphere of the source mesh.
向内射线长度（以源网格边界球的百分比表示）。,Inwards ray length in percentage of the bounding sphere of the source mesh.
填充未与源网格相交的自定义纹理页像素。,Flood fill pixels of custom texture pages that do not intersect the source mesh.
使用目标网格的平均面法线作为射线方向。,Use averaged face normals of target mesh as ray directions.\nThis only applies when not using cage mesh normals as ray directions.
如果启用，将在优化过程中忽略平滑组。,If enabled smoothing groups will be ignored during optimization.
Maya 计算切线时未使用 MikkTSpace。强制重新计算切线以确保 InstaLOD 使用 MikkTSpace 重新计算切线。,Maya calculates tangents without using MikkTSpace. Force tangent recalculation to ensure tangents are recalculated by InstaLOD using MikkTSpace.
启用自动显示反馈用户界面。发送到我们服务器的反馈信息不包含个人、网格或场景数据。只有与您的 InstaLOD 许可证有关的最基本信息会通过 HTTPS 发送。,"Enable automatic display of the feedback user interface. The feedback sent to our server contains no personal, mesh or scene data. Only minimal info relating to your InstaLOD license is sent via HTTPS."
网格操作将在 Maya 中异步执行，允许您在 InstaLOD 在后台处理数据时继续工作。,Mesh operations will be executed asynchronously in Maya allowing you to keep working while InstaLOD is processing data in the background.
启用场景单元系统的自动验证。,Enable automatic verification of the scene unit system.
在场景材质验证时显示错误信息。,Show error message on scene material verification.
为 InstaLOD 生成的网格数据自动创建组节点。,Automatically creates a group node for mesh data generated by InstaLOD.
应用 LOD 组属性,Apply LOD Group Attribute
根节点中的 LOD 组,LOD Group In Root
导出空节点。,Export empty nodes.
网格与原始电枢为父级关系。,Mesh is parented to original armature.
InstaLOD 的单位系统是厘米（Maya 默认）。\因此，100 个场景单位等于 1 米。如果您的场景或几何体是以其他比例构建的，强烈建议您为指定的 InstaLOD 设置 Maya,"The unit system of InstaLOD is centimeters (Maya default). \nTherefore, 100 scene units is equal to 1 meter. If your scene or geometry is built in another scale,\nit is highly recommended to setup Maya"
指定 InstaLOD 网格服务器的用户名。,Username for the specified InstaLOD Grid Server.
InstaLOD 网格服务器的地址。要求使用 <hostname:port> 格式。,Address of the InstaLOD Grid Server. Requires the format <hostname:port>.
已启用,Enabled
场景的单位系统。数值 0.01 对应厘米。,The unit system of the scene. The value 0.01 corresponds to centimeters.
单位公差。,The unit tolerance.
CAD 主体与生成网格之间的最大偏差。,The maximum deviation between the CAD body and the resulting mesh.
面的最大边长（单位）。,The maximum edge length of faces in units.
面与面之间的最大角度（单位：度）。,The maximum angle between faces in degrees.
自动缝合单个补丁。,Automatically stitches individual patches.
CAD 场景的上轴。,The up axis of the CAD scene.
导入后反转网格的法线。,Inverts the normals of a mesh after import.
应用着色魔法修复破损的法线。,Applies shading magic to fix broken normals.
从 CAD 场景导入材质,Import materials from the CAD scene.
从 CAD 场景中导入颜色作为材质。,Import colors as materials from the CAD scene.
 , 
Blender 的 InstaLOD,InstaLOD for Blender
删除选中的批量轮廓,Delete Selected Batch Profiles
剪切平面用于删除几何体的大部分。此外，它们还可用于封闭原本开放的表面。生成剪切平面将在当前场景中创建一个平面网格。在场景中平移和旋转剪切平面，剪切平面后的所有多边形都将被移除。InstaLOD 会自动检测当前场景中的所有剪接平面。,"Clipping planes are used to remove large parts of geometry. Additionally, they can also be used to seal an otherwise open surface. Spawning clipping planes will create a plane mesh in the current scene. Translate and rotate the clipping plane in your scene, all polygons behind the clipping plane will be removed. InstaLOD will automatically detect all clipping planes in the "
当前设置可能会导致较长的处理时间和较高的内存消耗。使用 ,The current settings may result in long processing times and very high memory consumption. Using 
"此操作使用 InstaLOD 生成器。纹理输出和其他与烘焙相关的选项可在 ""烘焙 ""选项卡中配置。",This operation makes use of the InstaLOD baker. Texture outputs and additional baker related options can be configured in the 
基于摄像机的遮挡（Camera Based Occlusion）基于一个或多个摄像机计算遮挡数据。透视和正交摄像机均受支持。只需选择几何体和摄像头，然后开始优化。,Camera Based Occlusion computes occlusion data based on one or multiple cameras. Both perspective and orthogonal cameras are supported. Simply selected both the geometry and the cameras and start the optimization.
InstaLOD 光线跟踪器的输出可以写入磁盘，方便查看 InstaLOD 认为可见的内容。请记住，闭塞数据的质量与光线追踪图像的分辨率直接相关。不过，将光线追踪结果渲染到磁盘会大大降低性能，因此建议在不需要时禁用此功能。,"The output of the InstaLOD raytracer can be written to disk, to easily review what InstaLOD considers visible. Keep in mind that the quality of the occlusion data is directly related to the raytraced image resolution. However, rendering raytracing results to disk comes at a considerable price of performance, so it recommended to disable this feature when not required."
"自动内部模式提供了一键去除内部遮挡面的解决方案。根据多边形密度的不同，可能有必要增加 ""自动内部模式""。",Automatic Interior Mode provides a one-click solution to remove occluded interior faces. Depending on the polygon density it can be necessary to increase 
纹理数据会自动从与所选网格相关的纹理文件中收集。默认情况下，InstaLOD 会尝试将相同的纹理匹配到纹理页中。除非 ,"Texture data is automatically collected from texture files associated with the selected meshes. By default, InstaLOD will try to match identical textures into a texture page. Unless "
InstaLOD,InstaLOD
InstaLOD 渲染技术支持与目标网格具有完全不同拓扑结构的笼子。这使得艺术家们可以通过以下方式在几秒钟内制作出完美的烘焙效果：（n）插入边缘环来制作漂亮的斜面；（n）切出碎片来烘焙贴花；（n）或通过在特定物体周围构建几何体。因此，笼状网格的 UV 必须与目标网格的 UV 相匹配。不过，遵循这一规则并不难，只需确保 Maya,"The InstaLOD baking tech supports cages with an entirely different topology than the target mesh. This enables artists to create the perfect bake in seconds by:\n- inserting edge loops to build beautiful bevels,\n- cutting out pieces to bake decals\n- or by building geometry around specific objects.\nWhen using a cage mesh, InstaLOD matches the cage and the target meshes via the UV-space. Therefore it is important that the cage mesh UVs match those of the target mesh. However, following this rule is trivial, simply ensure that Maya"
的 ,The 
默认情况下，内部纹理使用此处配置的输出尺寸。自定义材质纹理将使用输入纹理尺寸进行输出。不过，您可以使用自定义纹理页面配置文件来配置每个内部生成和自定义纹理贴图的输出尺寸和类型。,By default internal textures use the output size as configured here. Custom material textures will use the input texture size for output. However it is possible to configure the output size and type of each internally generated and custom texture map using a custom texture page configuration file.
默认情况下，源网格的现有顶点颜色将被转移。然而，内部和外部采样的纹理页都可以烘焙成顶点颜色。,"By default, the existing vertex colors of the source mesh will be transferred.\nHowever, both internally and externally sampled texture pages can be baked into vertex colors instead.\nWhen not using a "
自定义配置用于使用正则表达式设置高度自定义的输出纹理页。使用自定义配置可以轻松创建一个配置文件，用于执行复杂的烘焙，而无需任何额外设置。,Custom configurations are used to setup highly customizable output texture pages using regular expressions. With custom configurations it is easy to create a profile that can be used to perform complex bakes without any additional setup.
增加样本数既能提高输出纹理的质量，又能缩短处理时间。,Increasing the sample count increases both the quality of the output texture and the processing time.
可以在选定的网格上并行执行多个操作。\要执行批处理，请选择下面的配置文件，并在场景中选择网格，然后点击 ,Multiple operations can be executed in parallel on the selected meshes. \nTo execute a batch select the profiles below and select your meshes in the scene and click 
所有支持的导入文件类型。,All supported import file types.
所有支持的导出文件类型。,All supported export file types.
所有网格操作都可以在 InstaLOD Grid 服务器上处理，就像在本地处理一样。,"All mesh operations can be processed on an InstaLOD Grid server as if they are processed locally.\nTo enable server processing, specify a server address, enter your credentials and press "
请在下面的字段中输入您的授权信息，以取消对这台机器的授权。要取消许可授权，需要有激活的互联网连接。注意：最多需要 24 小时才能在另一台机器上激活席位/节点。,Please enter your licensing information in the fields below to deauthorize this machine. In order to deauthorize a license an active internet connection is required. NOTE: It takes up to 24 hours until the seat/node is available for activation on another machine.
InstaLOD 支持离线激活，方法是利用一台已激活互联网连接的机器代表另一台机器生成许可证。,"InstaLOD supports offline activation by utilizing a machine with an activate internet connection to generate a license on behalf of another machine.\nTo generate offline license entitlements for this machine, run InstaLOD Pipeline on the target machine with the "
InstaLOD 需要有效的许可证。请在下面的字段中输入许可证信息。\InstaLOD会定期连接到InstaLOD服务器来验证和刷新许可证。,InstaLOD requires a valid license. Please enter your licensing information in the fields below. \nIn order to acquire a license an active internet connection is required.\nInstaLOD periodically connects to the InstaLOD servers to validate and refresh the license.
根据上次结果的质量提交反馈，帮助我们改进InstaLOD。点击下面的按钮之一提交您的反馈。,Help us improve InstaLOD by submitting feedback based on the quality of the last result. Click one of the buttons below to submit your feedback.
连接失败：,Failed to connect to:
现在所有网格操作都在以下 InstaLOD 网格服务器上处理：,All mesh operations are now processed on the following InstaLOD Grid Server:
请将 InstaLOD for Autodesk Maya 指向 InstaLOD Pipeline 安装目录。更多信息请参阅 GettingStarted.txt 文件或访问我们的网站。,Please point InstaLOD for Autodesk Maya to the InstaLOD Pipeline installation directory.\nFor more information please refer to the GettingStarted.txt file or visit our website.
更改细分设置可能会导致 CAD 导入处理时间过长和内存占用过大。,Changing tessellation settings may result in excessive processing time and extreme memory usage for the CAD import.
OP,OP
优化,Optimize
RE,RE
Remesh,Remesh
IM,IM
假冒,Imposterize
MM,MM
材料合并,Material Merge
OC,OC
闭塞剔除,Occlusion Cull
BA,BA
烘烤,Bake
BO,BO
烘焙输出,Bake Output
UV,UV
MTK,MTK
批处理,Batch
设置,Setup
取消,Cancel
重新尝试网格导入,Reattempt Mesh Import
重置设置,Reset Settings
将所有设置重置为默认值。,Resets all settings to their default values.
打开配置文件,Open Profile
连接,Connect
根据指定的地址和端口与 InstaLOD 网格服务器建立连接。,Establishes a connection with an InstaLOD Grid Server under the specified address and port.
断开连接,Disconnect
断开与 InstaLOD 网格服务器的连接。,Disconnects from the InstaLOD Grid Server.
