,Take arrays of vertex indices and use these to create extra vertex groups.,
,Perform the actual weighting for a particular (blender) vertex group in the specified mesh.,
,Find the vertex coordinate with the lowest Z value,
,Use all the collected numpy data and transform to construct a blender mesh object,
,This module contains helpers for staging the import from makehuman.,
,Service for working with animations.,
,"Do not instance, there are only static methods in the class",
,Make an animation cyclic by adding a modifier to each fcurve. Optionally add offset parameter to one bone.,
,Scan through all key frames set for pose bones and return a dict with all info.,
,Assign key frames for pose bones.,
本模块提供了一个用于管理 blender 类的类,This module contains utility functions scanning asset repositories.,
添加要管理的 blender 类,This module contains utility functions for clothes.,
此文件用于处理插件首选项。,Utility functions for clothes.,
MPFB 偏好设置,You should not instance ClothesService. Use its static methods instead.,
"""\""""
"""", ""具有多个面板的用户界面布局""",Move clothes vertices so they fit the current shape of the base mesh.,
使用具有多个面板的布局，例如一个面板用于显示目标，一个面板用于显示材质等，而不是将所有内容都放在一个面板中。,temporary_fitting_key.,
MPFB 用户数据的路径,"""Create or update a \""delete\"" group on the base mesh.""",
如果您想将 MPFB 用户数据存储在默认位置以外的地方，可以在此处输入现有目录的路径,Delete,
MakeHuman 用户数据的路径,Set up weights and a custom sub-rig for the given clothes object.,
如果要使用从 MakeHuman 创建或下载的资产和模型，可以在此处指定数据目录的路径。通常是 ~/Documents/makehuman/v1py3/data 或类似的目录,Try to load custom weights for the given clothes and rig.,
自动发现 MakeHuman 用户数据的路径,High-level functionality for human objects,
如果没有指定 MakeHuman 用户数据目录的路径，则尝试自动找出。如果路径已明确设置，则此设置将不起作用,High-level utility functions for various human tasks.,
全局记录所有未捕获的异常,You should not instance HumanService. Use its static methods instead.,
为了记录未处理的异常，MPFB 可以覆盖全局异常处理程序。这可能会在重新加载和/或与其他模块一起加载时造成问题。不过，如果遇到崩溃并需要适当的日志，可以暂时启用此功能,Delete.,
货架标签,Proxymeshes,
如果您想为 MPFB 货架标签使用不同的名称，可以在此处输入任何非空字符串,METER,
',DECIMETER,
在以下更改生效之前，你需要重新启动搅拌器。,CENTIMETER,
记得在重启前保存首选项。,proxymeshes,
解构所有已加载的 blender 类,Human.rigify,
此模块包含通过 JSON 对装备进行序列化/反序列化的功能。,Functionality for logging,
代表电枢的实体类。,Construct a new log channel.,
您可能需要使用其中一个静态方法，而不是直接调用 init。,Set the highest level to report for this channel,
创建 Rig 的实例，并用 json 文件和基础网格中的信息填充它。,"Report a crash. This will always be reported, no matter what the log level is set to.",
创建一个 Rig 实例，并输入电枢和相关网格的信息。,"Report an error, if the log level is at least 1.",
使用对象中的信息构建衔铁，并调整衔铁以适应基本网格。,"Report a warning, if the log level is at least 2.",
在衔铁对象中创建实际骨骼。,"Report an information, if the log level is at least 3.",
重新定位骨骼以适应基底网格的当前状态。,"Report a debug message, if the log level is at least 4.",
为编辑骨骼指定元数据拟合。,"Report an trace message, if the log level is at least 5.",
为姿势骨骼指定骨骼元数据拟合。,"Dump a large data structure to the log, if the log level is at least trace.",
从连接两个关节的链中选择最佳骨骼。,"Report that a method was entered, if the log level is at least trace.",
从连接两个关节的链中选择最佳骨骼。,Return the number of millisections which has passed since time was last reset for this channel.,
计算点到骨骼的距离,"Report a timestamp message, if log level is at least debug.",
查找连接两个关节立方体的骨骼链，并自动拆分关节。,Reset the timer for this log channel,
查找连接两个关节立方体的骨骼链。,Service for logging messages.,
将策略数据保存在姿势骨骼中，以便开发。,Don't try to construct the LogService class. It only contains static methods.,
从骨骼中获取头部或尾部策略设置,Get (or create) a log channel with the specified name.,
列出仍标记为使用默认定位策略的骨骼。,"Set the default level to use for channels, if no specific override has been set for that channel.",
移动基模，使其双脚着地，并应用此变换。,Return the default log level.,
 ,Return a list of loggers in a format which is appropriate for lists in the UI.,
临时_fit_rig_key。,Return a list of logger categories in a format which is appropriate for lists in the UI.,
从骨骼数据中提取骨骼信息。,Return a live dict with the currently defined loggers.,
从编辑骨骼中提取骨骼信息。,Specify a different level to use rather than the default for the specified logger.,
将定义中的一些浮点数值四舍五入，以减少重新保存时的噪音,Reset all levels (including the default) to the factory settings.,
从姿势骨骼中提取信息,Various functions for working with materials,
读取与给定网格顶点相关的变形权重。,Utility class for working with materials,
尝试找出与关节立方体相匹配的骨骼位置。,You should not instance MaterialService. Use its static methods instead.,
检查保存的策略是否更好并加以应用。,Check if object has any materials at all assigned,
该模块包含插件中多处使用的实体。,Return the material in the object's given material slot,
该模块提供 MHCLO 文件的信息库。,Try to figure out which kind of material we have,
表示 MHCLO 文件的值。,Non-Color,
创建一个带有默认值的空 MHCLO 对象。,Try to modify the material so that it uses the normal map,
导入的布料,TexCoord,
无说明,DiffuseTexture,
制作皮肤材料,"Return a static color for the skin material, for example to be used in the viewport.",
组输入,"Return a static color for a bodypart material, for example to be used in the viewport.",
组输出,"Return a static color for a clothes material, for example to be used in the viewport.",
材质输出,"Return a static color for the eye material, for example to be used in the viewport.",
如果存在我们计划应用的已定义骨架,"Return a static color for the teeth material, for example to be used in the viewport.",
返回代表地面的连接立方体中心的 Z 坐标,Return all static colors for all materials.,
为辅助几何体中的顶点设置顶点组。,"MeshService contains various functions for working meshes, vertex groups, weights and similar.",
从 MH 获取装备信息,"Find all vertices in a vertex group, return a list with vertex index and weight in group.",
为基底模型创建实际的 blender 对象，并为其应用顶点组和修改器,Create a new vertex group and add verts and weights to it.,
主体,This module contains utility functions for working with modifiers.,
导入器预设的获取器，这是一个本应在构造函数中给出的 dict,Move a modifier to the top of the stack,
对象类型获取器。类型包括底座、轴心、衣服、眼睛等等。,"Create a new modifier for blender_object, of the given type. Optionally place it in the top of the stack.",
从 object_info 获取名称的方便调用,"Create a mask modifier for blender_object, for the given vertex group. Optionally place it in the top of the stack.",
从 object_info 获取文件名的方便调用,Create a subdiv modifier for blender_object. Optionally place it in the top of the stack.,
获取顶点索引数组，并使用这些数组创建额外的顶点组。,Return a list with all modifiers with a given type for the given object.,
为指定网格中的特定（搅拌器）顶点组执行实际加权。,"Return a modifier of the given type, optionally also limited by name",
查找 Z 值最小的顶点坐标,This service provides utility functions for working with shader nodes.,
使用收集到的所有 numpy 数据和转换构建一个 blender 网格对象,"Iterate over all v2 node groups and check them, creating them if they haven't been initialized.",
本模块包含从 makehuman 导入的帮助程序。,Return a dict with the default values of all input sockets for a node.,
为处理动画提供服务。,"""Set the node's input socket default values to the values provided in the \""values\"" dict.""",
请勿实例化，该类中只有静态方法,Delete all nodes in a node tree. The tree instance as such will be preserved.,
为每个 fcurve 添加修改器，使动画循环播放。可为一个骨骼添加偏移参数。,sRGB,
扫描为姿势骨骼设置的所有关键帧，并返回包含所有信息的 dict。,"Find a node tree with the given group name and return it. If it doesn't exist, then create it.",
为姿势骨骼指定关键帧。,Find a node with the given name in the node tree.,
本模块包含扫描资产库的实用程序。,Return an array with all nodes of the given type in the node tree.,
本模块包含服装实用功能。,"Return the input socket with the given identifier or name. If the socket is not found, return None.",
服装实用功能,"Return the output socket with the given identifier or name. If the socket is not found, return None.",
不应实例化 ClothesService。请使用其静态方法。,"Return the a socket with the given identifier or name. If the socket is not found, return None.",
垂直移动衣服,Find the first node with the given type in the node tree.,
查找具有指定节点树的第一个 ShaderNodeGroup。,Find the first ShaderNodeGroup with the indicated node tree.,
返回一个数组，其中包含节点树中给定类型类的所有节点。,Return an array with all nodes of the given type class in the node tree.,
查找节点树中第一个具有给定类型类的节点。,Find the first node with the given type class in the node tree.,
返回具有给定名称的节点输入插槽的默认值。,Return the default value of the node's input socket with the given name.,
返回链接到给定节点中输入插座的节点。,Return the node that links to an input socket in the given node.,
返回图像纹理节点引用的图像的规范化文件路径。,Return the normalized file path of an image referred to by an image texture node.,
创建一个具有给定类型的新节点。,Create a new node with the given type.,
根据提供的 dict 中的信息创建一个新节点。,Create a new node based on information in the provided dict.,
创建一个新的原则节点,Create a new principled node.,
创建一个新的凹凸节点,Create a new bump node.,
创建一个新的法线贴图节点,Create a new normal map node.,
创建一个新的位移贴图节点,Create a new displacement map node.,
创建一个新的 mixrgb 节点。,Create a new mixrgb node.,
创建一个新的值节点。,Create a new value node.,
创建新的属性节点。,Create a new attribute node.,
创建新的图像纹理节点,Create a new image texture node.,
该模块包含用于处理对象的实用功能。,This module contains utility functions for working with objects.,
生成包含 15 个小写 ascii 字符的随机字符串。,Generate a random string containing 15 lowercase ascii characters.,
安全删除具有给定名称的对象。如果对象不存在，将优雅地跳过任何操作。,Safely delete an object with a given name. Will gracefully skip doing anything if the object does not exist.,
"安全删除具有给定名称的对象。如果对象为 ""无""，将优雅地跳过任何操作。",Safely delete an object with a given name. Will gracefully skip doing anything if the object is None.,
检查是否存在名称为给定值的对象。,Check if there's an existing object with the given name.,
选中并激活给定对象。也可选择取消选择所有其他对象。,Make given object selected and active. Optionally also deselect all other objects.,
确保没有对象被选中或激活。,Make sure no object is selected nor active.,
新建对象,NewObject,
使用网格数据块创建一个新的网格对象。,Create a new mesh object with a mesh data block.,
创建一个带有电枢数据块的新电枢对象。,Create a new armature object with an armature data block.,
创建一个新的空对象，可选择指定其绘制类型和父对象。,"Create a new empty object, optionally specifying its draw type and parent.",
将一个搅拌器对象链接到一个集合，也可选择指定一个父对象,"Link a blender object to a collection, optionally also assigning a parent object",
返回父对象属性设置为 parent_object 的对象列表。,Return list with objects whose parent property is set to parent_object.,
查找所有选中的对象，但可选择排除非 MH 对象、网格对象、纟状对象和元对象。,"Find all selected objects, but optionally exclude non-MH objects, mesh objects, armature objects, and meta objects.",
查找所有选中的电枢对象。,Find all selected armature objects.,
查找所有选中的网格对象。,Find all selected mesh objects.,
对象的 object_type == 基底网格,Object has object_type == Basemesh,
对象的 object_type 是 Proxymesh 或 Proxymeshes。,Object has object_type Proxymesh or Proxymeshes.,
对象的 object_type == Eyes（眼睛）。,Object has object_type == Eyes.,
对象的 object_type 是 Basemesh 或 Proxymesh。,Object has object_type Basemesh or Proxymesh.,
对象不是无，且具有 MESH 类型。,Object is not none and has type MESH.,
"对象不是 ""无""，具有 MESH 类型，并且具有有效的 object_type 设置。","Object is not none, has type MESH and has a valid object_type set.",
对象不为零，具有 MESH 类型，并且具有被列为网格资产的对象类型集。,"Object is not none, has type MESH and has an object_type set which is listed as a mesh asset.",
"对象并非 ""无""，且具有有效的对象类型集。",Object is not none and has a valid object_type set.,
骨架,Skeleton,
基本网格,Basemesh,
人类,Human,
临时最低点关键字。,temporary_lowest_point_key.,
衣服,clothes,
用于处理装备、骨骼和权重的服务。,"Service for working with rigs, bones and weights.",
这将创建指向纟的纟修改器，或更新现有的纟修改器。,"This creates armature modifier(s) pointing to the armature, or updates existing.",
mhmask-保留体积,mhmask-preserve-volume,
蒙皮-次骨骼,mhmask-subrig,
在姿态模式下，以纟对象的给定名称查找骨骼。,"Find a bone with the given name of the armature object, in pose mode.",
在编辑模式下，以纟对象的给定名称查找骨骼。,"Find a bone with the given name of the armature object, in edit mode.",
在姿态模式下激活纟对象名称相同的骨骼。,"Activate a bone with the given name of the armature object, in pose mode.",
清除和移除骨骼上的所有姿势模式骨骼约束。,Clear and remove all pose mode bone constraints from a bone.,
为骨骼添加姿势模式约束。,Add a pose mode constraint to a bone.,
球形骨骼,bone_shape_sphere,
圆形骨骼,bone_shape_circle,
箭形骨骼,bone_shape_arrow,
创建与 MHW 兼容的权重字典,Create a MHW-compatible weights dict,
列出装备中不存在但将由 Rigify 生成的变形骨骼。,"List deform bones that are not present in the rig, but will be generated by Rigify.",
为给定的权重组名称查找匹配的骨骼，并提供适当的回退。,"Find matching bones for the given set of weight group names, with appropriate fallbacks.",
返回要加载权重的装备类型列表。,Returns a list of rig types to try loading weights for in order.,
根,root,
系统和目录的各种功能,Various functionality for system and directories,
用于各种系统任务的实用功能。,Utility functions for various system tasks.,
不应实例化 SystemService。请使用其静态方法。,You should not instance SystemService. Use its static methods instead.,
推断当前系统平台（即操作系统）。,Deduces the current system platform (ie the operating system).,
打开指定路径的文件浏览器窗口。,Open a file browser window for the specified path.,
检查是否安装了 Blender OBJ 导入器。,Check if the Blender OBJ importer is installed.,
检查是否安装了 Blender Rigify 插件。,Check if the Blender Rigify addon is installed.,
用正斜杠替换所有反斜杠。,Replace all escaped backslashes with forward slashes.,
检查完整路径是否包含路径段。,Check if the full path contains the path segment.,
管理目标和形状键的模块,Module for managing targets and shape keys.,
基础,Basis,
macrodetails/,macrodetails/,
macrodetails/universal,macrodetails/universal,
macrodetails/height/,macrodetails/height/,
胸围/,breast/,
宏观细节/比例/,macrodetails/proportions/,
macrodetail-,macrodetail-,
该模块提供为手臂/手部添加助手的功能。,This module provides functionality for adding helpers to arms/hands.,
获取与装备类型相匹配的实现实例。,Get an implementation instance matching the rig type.,
抽象方法用于获取下臂最后一块骨骼的名称，必须由特定的钻机实现类覆盖。,"Abstract method for getting the name of the last bone in the lower arm, must be overriden by rig specific implementation classes.",
获取上臂最后一块骨骼名称的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting the name of the last bone in the upper arm, must be overriden by rig specific implementation classes.",
获取肩部最后一块骨骼名称的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting the name of the last bone in the shoulder, must be overriden by rig specific implementation classes.",
获取手骨名称的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting the name of the hand bone, must be overriden by rig specific implementation classes.",
获取下臂骨数量的抽象方法，必须由特定的 rig 实现类覆盖。,"Abstract method for getting the number of bones in the lower arm, must be overriden by rig specific implementation classes.",
获取上臂骨数量的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting the number of bones in the upper arm, must be overriden by rig specific implementation classes.",
获取肩部骨骼数量的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting the number of bones in the shoulder, must be overriden by rig specific implementation classes.",
获取根骨名称的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting the name of the root bone, must be overriden by rig specific implementation classes.",
抽象方法，用于设置下臂骨骼的约束条件。,Abstract method for settings constraints for the bones in the lower arm.,
设置上臂骨骼约束的抽象方法。,Abstract method for settings constraints for the bones in the upper arm.,
为肩部骨骼设置约束的抽象方法。,Abstract method for settings constraints for the bones in the shoulder.,
从手腕开始向内获取骨骼名称列表的抽象方法。,"Abstract method for getting a list of bone names, starting from the wrist and working inwards.",
本模块包含手臂辅助工具类的默认装备实现,This module contains the default rig's implementation of the arm helpers class,
"与 ""默认 ""和 ""默认无脚趾 ""装备相匹配的手臂辅助工具的特定装备实现。",The rig specific implementation of arm helpers matching the Default and Default-no-toes rigs.,
本模块包含眼睛辅助工具类的默认装备实现,This module contains the default rig's implementation of the eye helpers class,
"与 ""默认 ""和 ""默认无趾 ""装备相匹配的眼部辅助器的特定装备实现。",The rig specific implementation of eye helpers matching the Default and Default-no-toes rigs.,
该模块提供了为眼睛添加辅助器的功能。,This module provides functionality for adding helpers to eyes.,
用于获取头部骨骼名称的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting the name of the head bone, must be overriden by rig specific implementation classes.",
获取眼骨名称的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting the name of the eye bone, must be overriden by rig specific implementation classes.",
获取下眼睑骨名称的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting the name of the lower eyelid bone, must be overriden by rig specific implementation classes.",
获取上眼睑骨名称的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting the name of the upper eyelid bone, must be overriden by rig specific implementation classes.",
用于设置眼骨约束的抽象方法，必须由特定的钻机实现类重载。,"Abstract method for setting constraints of the eye bone, must be overriden by rig specific implementation classes.",
本模块包含手指辅助工具类的默认装备实现,This module contains the default rig's implementation of the finger helpers class,
"与 ""默认 ""和 ""默认无趾 ""装备相匹配的手指辅助工具的特定装备实现。",The rig specific implementation of finger helpers matching the Default and Default-no-toes rigs.,
该模块提供了为手指添加辅助器的功能。,This module provides functionality for adding helpers to fingers.,
添加旋转,Add rotation,
用于获取手指最内侧骨骼名称的抽象方法，必须由特定钻机实现类覆盖。,"Abstract method for getting the name of the innermost bone in a finger, must be overriden by rig specific implementation classes.",
获取指尖骨骼名称的抽象方法，必须由特定装备的实现类覆盖。,"Abstract method for getting the name of the finger tip bone, must be overriden by rig specific implementation classes.",
抽象方法用于获取手指直接父骨骼的名称，必须由特定的钻机实现类重载。,"Abstract method for getting the name of the immediate parent of a finger, must be overriden by rig specific implementation classes.",
获取手指骨骼数量的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting the number of bones in a finger, must be overriden by rig specific implementation classes.",
为手指设置约束的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for setting constraints for a finger, must be overriden by rig specific implementation classes.",
从指尖开始获取手指骨骼列表的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting a list of bones from a finger starting from the tip, must be overriden by rig specific implementation classes.",
本模块包含默认装备的具体实现。,This module constains the rig specific implementation for the default rig.,
本模块提供为臀部/腿部/脚部添加助手的功能。,This module provides functionality for adding helpers to hip/legs/feet.,
用于获取小腿最后一块骨骼名称的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting the name of the last bone in the lower leg, must be overriden by rig specific implementation classes.",
获取上肢最后一块骨骼名称的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting the name of the last bone in the upper leg, must be overriden by rig specific implementation classes.",
获取髋部最后一块骨骼名称的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting the name of the last bone in the hip, must be overriden by rig specific implementation classes.",
获取脚骨名称的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting the name of the foot bone, must be overriden by rig specific implementation classes.",
获取小腿骨数量的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting the number of bones in the lower leg, must be overriden by rig specific implementation classes.",
获取上肢骨骼数量的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting the number of bones in the upper leg, must be overriden by rig specific implementation classes.",
获取臀部骨骼数量的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting the number of bones in the hip, must be overriden by rig specific implementation classes.",
为小腿设置约束的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for setting constraints for the lower leg, must be overriden by rig specific implementation classes.",
为上肢设置约束条件的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for setting constraints for the upper leg, must be overriden by rig specific implementation classes.",
为臀部设置约束的抽象方法，必须由钻机特定的实现类覆盖。,"Abstract method for setting constraints for the hip, must be overriden by rig specific implementation classes.",
本模块包含游戏引擎钻机对 rigify 助手类的实现。,This module contains the gameengine rig's implementation of the rigify helpers class,
与游戏引擎装备相匹配的 rigify 助手的具体实现。,The rig specific implementation of rigify helpers matching the Game engine rig.,
ORG-,ORG-,
DEF-,DEF-,
用于获取脚部骨骼名称的抽象方法，必须由特定的 rig 实现类覆盖。,"Abstract method for getting the name of a foot bone, must be overriden by rig specific implementation classes.",
获取脊柱骨骼列表的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting a list of bones in the spine, must be overriden by rig specific implementation classes.",
获取手臂骨骼列表的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting a list of bones in an arm, must be overriden by rig specific implementation classes.",
获取腿部骨骼列表的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting a list of bones in a leg, must be overriden by rig specific implementation classes.",
获取肩部骨骼列表的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting a list of bones in a shoulder, must be overriden by rig specific implementation classes.",
获取头部骨骼列表的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting a list of bones in the head, must be overriden by rig specific implementation classes.",
获取手指骨骼列表的抽象方法，必须由特定的钻机实现类覆盖。,"Abstract method for getting a list of bones in a finger, must be overriden by rig specific implementation classes.",
包含用户界面面板基类的文件,File containing the base class for UI panels,
人体模型面板。,Human modeling panel.,
抽象面板,Abstract panel,
这是资产库的根面板。,This is the root panel for the asset library.,
应用资产,Apply assets,
过滤,Filter,
创建资产,Create assets,
材料,Materials,
用户界面操作符的抽象封装器,Abstract wrapper for UI operators,
用户界面操作符的抽象封装器，为编写错误摘要提供帮助,"Abstract wrapper for UI operators, providing help for writing error summaries",
初始化操作符。通常无需手动调用。,Initialize the operator. You will normally not need to call this manually.,
生成错误信息哈希值，提供有关错误和上下文状态的信息。,"Generate an error information hash, providing information about the error and the state of the context.",
新人类,New human,
操作,Operations,
管理预置,Manage presets,
装配,Rigging,
系统和资源,System and resources,
包含用于添加行走周期的已废弃用户界面的文件,File containing deprecated UI for adding a walk cycle,
用于添加/设置行走周期的已废弃功能,Deprecated functionality for adding/setting walk cycle,
添加行走周期,Add walk cycle,
已弃用，改为,DEPRECATED in favor of,
mixamo 功能,mixamo functionality,
在,(and it never worked,
特别好用,particularly well in,
而且它本来就不是特别好用）,the first place),
该模块提供添加行走周期的功能。,This module provides functionality adding walk cycles.,
从 json 中加载行走周期,Load walk cycle from json,
加载行走周期,Load walk cycle,
用于添加行走周期的操作符。,Operators for adding walk cycles.,
包含人类建模主用户界面的文件,File containing main UI for modeling humans,
添加/设置装备的功能,Functionality for adding/setting rig,
添加装备,Add rig,
该模块提供添加装备的功能。,This module provides functionality adding rigs.,
用于添加 rigify rig 的操作符。,Operator for adding a rigify rig.,
添加装备,Add a rigify rig,
添加标准钻机,Add rigify rig,
添加标准钻机的操作员。,Operator for adding a standard rig.,
添加标准（非装配）钻机,Add a standard (non-rigify) rig,
添加标准装备,Add standard rig,
生成 rigify rig 的操作符。,Operator for Generating a rigify rig.,
从元钻机生成 rigify 钻机,Generate a rigify rig from a meta-rig,
生成,Generate,
添加装备的操作符。,Operators for adding rigs.,
动画,Animation,
选择两个 mixamo 电枢,Select two mixamo armatures,
仅支持 mixamo 电枢,Only mixamo armatures supported,
源： %s,Source: %s,
目的地：%s,Dest: %s,
通过添加 fcurve 修饰符使动画循环播放。警告： 如果动画中已经有 fcurve 修饰符，此操作将不起作用。,Make animation cyclic by adding fcurve modifiers. WARNING: This will not work if the animation already has fcurve modifiers.,
制作循环动画,Make cyclic,
将动画固定到 mixamo 装配的功能,Functionality for snapping animation to mixamo rig,
为目标装备中的所有 mixamo 骨骼添加骨骼约束，使其复制源装备中骨骼的位置和旋转。,"Add bone constraints to all mixamo bones in the target rig, making them copy the location and rotation of the bones in the source rig",
捕捉到 mixamo,Snap to mixamo,
为 mixamo 创建上传副本的功能。,Functionality for creating an upload copy for mixamo.,
创建角色的缩小副本。该副本将删除所有衣服和身体部位、辅助几何体和所有形状键。,"Create a reduced copy of the character. The copy will have all clothes and body parts removed, the the helper geometry deleted and all shape keys baked",
缩小的 Mixamo 人偶,Mixamo reduced doll,
警告：这只是实验性的。通过复制动画的关键帧来重复动画，可选择给定的偏移量和距离偏移。需要注意的是，如果你只想让动画循环播放，这可能是多余的做法,"WARNING: THIS IS RATHER EXPERIMENTAL. Repeat an animation by copying its keyframes, optionally with given offsets and distance shifts. Note that if all you want is to make an animation cyclic, this is probably overkill",
重复动画,Repeat animation,
载入姿势,Load pose,
加载与装备类型匹配的部分姿势,Load partial pose matching rig type,
加载部分姿势,Load partial pose,
加载与装备类型和模式相匹配的姿势,Load pose matching rig type and mode,
该文件包含替代材质面板。,This file contains the alternative material panel.,
选定资产的替代材质。,Alternative materials for selected assets.,
替代材质,Alternative materials,
选择网格对象,Select a mesh object,
仅支持 MH 对象,Only MH objects supported,
仅支持衣服和肢体,Only clothes and bodyparts,
支持,supported,
资产库子面板,Asset library subpanels,
资产库面板,Asset library panel,
应重载,SHOULD BE OVERRIDDEN,
没有匹配的资产。,No matching assets.,
也许可以更改过滤器？,Maybe change filter?,
该文件包含资产设置面板。,This file contains the asset settings panel.,
用于加载资产文件的设置。,Settings for loading asset files.,
库设置,Library Settings,
衣服、肢体和代理,"Clothes, Bodyparts & Proxies",
皮肤,Skin,
眼睛,Eyes,
安装资产,Install assets,
此模块包含从库中加载资产的功能。,This module contains functionality for loading assets from the library.,
操作员可导入自定义目标。,Operator for importing a custom target.,
安装自定义目标,Install custom target,
从资产库中导入 MHCLO 服装的操作符。,Operator for importing MHCLO clothes from asset library.,
从资产库加载 MHCLO,Load MHCLO from asset library,
加载,Load,
文件路径,filepath,
资产的完整路径,Full path to asset,
对象类型,object_type,
对象的类型,type of the object,
材料类型,material_type,
材料类型,type of material,
加载替代材料的操作符,Operator for loading an alternative material,
用选定的替代材料替换当前材料,Replace the current material with the selected alternative material,
从资产库中导入 PROXY 的操作符。,Operator for importing PROXY from asset library.,
从资产库中加载 PROXY,Load PROXY from asset library,
从资产库中导入 MHCLO 皮肤的操作符。,Operator for importing MHCLO skin from asset library.,
从资产库加载 MHMAT 皮肤,Load skin MHMAT from asset library,
导入资产包的操作符。,Operator for importing an asset pack.,
从压缩文件加载资产包,Load pack from zip file,
卸载先前装备的 mhclo 资产的操作符。,Operator for unloading previously equipped mhclo assets.,
卸载先前已装载的 mhclo 资产,Unequip mhclo asset that has been previously loaded,
卸载,Unequip,
