 禅宗搅拌器实用工具 , Zen Blender Utils 
按钮选定颜色,Button Selected Color
按钮被按下或选中时的背景颜色,Button background color when it is pressed or selected
按钮图标颜色,Button Icon Color
按钮图标默认颜色,Button icon default color
切换按钮图标,Toggle Button Icon
切换按钮默认图标的背景颜色,Background color of toggle button default icon
方向颜色,Direction Color
方向指针的颜色,Color of direction pointer
方向最左颜色,Direction Most Color
最左/最右/最上/最下模式下方向指针的颜色,Color of direction pointer in most left/right/top/bottom mode
模式颜色化,Colorize Modes
如果设置，按钮图标将按特定模式着色,"If set, then button icon is colorized by the certain mode"
模式： 允许重复,Mode: Allow Duplicate
模式中按钮图标的颜色： 允许重复,Color of button icon in mode: Allow Duplicate
模式： 开启,Mode: On
模式下按钮图标的颜色： 打开,Color of button icon in mode: On
模式 关闭,Mode: Off
模式下按钮图标的颜色： 关闭,Color of button icon in mode: Off
按钮名称,Name
按钮名称,Button name
模式,Mode
按钮按下行为,Button press behaviour
区域道具,Area Props
空间道具,Space Props
锁定区域/空间属性,Lock Area/Space Properties
过滤工作区的名称,Name of the filtered workspace
三维视口,3D Viewport
不在此区域显示,Do not display in this area
图像编辑器,Image Editor
UV 编辑器,UV Editor
合成器,Compositor
纹理节点编辑器,Texture Node Editor
几何节点编辑器,Geometry Node Editor
着色器编辑器,Shader Editor
视频序列器,Video Sequencer
电影剪辑编辑器,Movie Clip Editor
涂料表,Dope Sheet
时间轴,Timeline
图表编辑器,Graph Editor
驱动程序,Drivers
非线性动画,Nonlinear Animation
文本编辑器,Text Editor
Python 控制台,Python Console
信息,Info
大纲,Outliner
属性,Properties
文件浏览器,File Browser
资产浏览器,Asset Browser
电子表格,Spreadsheet
首选项,Preferences
水平分割区域,Split area horizontally
垂直分割区域,Split area vertically
最小化,Minimize
切换区域最小化,Toggle area minimize
最大化,Maximize
切换区域最大化,Toggle area maximize
关闭,Close
关闭活动区域,Close active area
按钮索引,Button Index
过滤工作区索引,Filtered Workspace Index
选项组,Option Groups
右偏移,Right Offset
底部偏移,Bottom Offset
保存和恢复区域属性,Save & Restore Area Properties
如果启用，区域属性将在关闭时保存或在打开时恢复,"If enabled, area properties are saved on close or restored on open"
使用还原工作区,Use Revert Workspace
将最后一个区域布局保存到临时工作区,Save last area layout to temporary workspace
临时工作区,Temporary Workspace
存储区域的临时工作区名称,Name of temporary workspace where areas are stored
UI 缩放,UI Scale
工具提示延迟（毫秒,"Tooltip Delay, msec"
工具提示延迟（毫秒,Delay of tooltip in milliseconds
扩展状态,Expanded State
系统按钮,System Buttons
颜色,Colors
切换区域按钮,Toggle Area Buttons
属性,Properties:
空间,Space
ZWB_UL_ButtonsList,ZWB_UL_ButtonsList
过滤工作区,Filtered Workspaces
过滤区域,Filtered Areas
工作区名称,Workspace Name
区域图标,Area Icon
编辑切换区域/空间属性,Edit Toggle Area/Space Properties
保存 切换区域/空间文本属性,Save Toggle Area/Space Text Properties
全部取消隐藏,Unhide All
取消隐藏所有区域和工作区的按钮栏,Unhide button bar in all areas and workspaces
取消隐藏工作区,Unhide Workspace
在工作区中启用面板显示,Enable panel display in workspace
索引,Index
还原,Restore
将首选项恢复到默认状态,Restore preferences to its default state
道具列表,Props List
Zen Dock 道具,Zen Dock Props
未知,UNKNOWN
浮动,FLOAT
INT,INT
BOOL,BOOL
STR,STR
数组,ARRAY
 记录 , Logging 
UI_UL_list,UI_UL_list
绘制 +/- 按钮来添加和删除列表条目。,Draw the +/- buttons to add and remove list entries.
绘制上/下箭头以移动列表中的元素。,Draw the up/down arrows to move elements in the list.
根据上下文成员的数据路径返回其值。,Return the value of a context member based on its data path.
根据数据路径设置上下文成员的值。,Set the value of a context member based on its data path.
从列表中移除所选条目,Remove the selected entry from the list
删除选定条目,Remove Selected Entry
在当前活动条目后向列表中添加条目,Add an entry to the list after the current active item
添加条目,Add Entry
上下移动列表中的条目,Move an entry in the list up or down
移动条目,Move Entry
 启动 Zen Dock , Init Zen Dock 
 注册类别 , Register classes 
 取消注册类 , Unregister classes 
按钮,Button
标签,Label
使用两个矢量点绘制直线,Draws a line using two Vector-based points
,
通过www.DeepL.com/Translator（免费版）翻译,
