"文件夹","Folder"
"调整噪声模式的复杂性。增加步数会产生更真实的噪声，但也会增加处理时间","Adjusts the complexity of the noise pattern. Increasing the steps results in more realistic noise but also increases processing time"
"调整图像的噪点颜色程度","Adjusts how much the noise colors the image"
"动画师","Animmate"
"随机化每帧的颗粒。这更真实，但在视口中相当慢","Randomize the grain per frame. This is more realistic but fairly slow in the viewport"
"渲染原始","Render Raw"
"渲染原始预设","Render Raw Presets"
"在首选项中设置文件夹","Set folder in preferences"
"保存预设","Save Preset"
"刷新预设","Refresh Presets"
"删除预设","Remove Preset"
"看","Look"
"视口合成器","Viewport Compositor"
"阴影混合","Shadow Blending"
"高光混合","Highlight Blending"
"中间调混合","Midtone Blending"
"力量","Strength"
"盛开","Bloom"
"条纹","Streaks"
"条纹长度","Streak Length"
"连胜数","Streak Count"
"条纹角","Streak Angle"
"场景变换","Scene Transform"
"场景外观","Scene Look"
"场景曝光","Scene Exposure"
"阅读文档","Read the Docs"
"报告问题","Report an Issue"
"搅拌机市场观点","View on Blender Market"
"色彩管理","Color Management"
"使成为","render"
"音序器","Sequencer"
"价值观","Values"
"曲线","Curves"
"颜色","Colors"
"色彩均衡","Color Balance"
"价值/颜色","Value / Color"
"色相/色相","Hue / Hue"
"色相饱和度","Hue / Saturation"
"色相/明度","Hue / Value"
"值/饱和度","Value / Saturation"
"细节","Details"
"效果","Effects"
"小插图","Vignette"
"使用曲线","Use Curves"
"展示","Display"
"公用事业","Utilities"
"场景颜色设置","Scene Color Settings"
"粮食","Grain"
"场景设置","Scene Settings"
"设置预设文件夹","Set Presets Folder"
"小路","Path"
"姓名","Name"
"删除渲染原始预设","Remove Render Raw Preset"
"刷新渲染原始预设","Refresh Render Raw Presets"
"刷新节点树","Refresh Node Tree"
"删除所有渲染原始节点并再次导入它们。当将项目从一个版本的插件切换到另一个版本时很有用","Removes all Render Raw nodes and imports them again. Useful for when switching a project from one version of the addon to another"
"报告","Report"
"报告呈现操作员外部发生的原始警告","Reports Render Raw warnings that occur outside of an operator"
"消息类型","Message Type"
"信息","Message"
"重置场景颜色设置","Reset Scene Color Settings"
"将场景颜色管理设置恢复为 Render Raw 正常运行所需的设置","Sets the scene color management settings back to what Render Raw needs in order to function properly"
"设置曲线","Set Curves"
"节点名称","Node Name"
"节点路径","Node Path"
"曲线预设","Curve Preset"
