将 FBXs/OBJs/GLTFs 导出到 Unity/UE/Godot,Export FBXs/OBJs/GLTFs to Unity/UE/Godot
合并骨骼：,Merge Bones:
方法,Method
合并骨骼,Merge Bones
当前模式：,Current Mode:
反转画笔,Invert Brush
导入/导出工具,Import/Export Tools
显示/隐藏导入/导出工具 UI 面板,Show/Hide Import/Export Tools UI Panel
显示/隐藏材质/纹理工具（3D 视图）UI 面板,Show/Hide Material/Texture Tools (3D View) UI Panel
显示/隐藏原点工具 UI 面板,Show/Hide Origin Tools UI Panel
显示/隐藏其他工具 UI 面板,Show/Hide Other Tools UI Panel
UV 工具（三维视图）,UV Tools (3D View)
显示/隐藏 UV 工具（三维视图） UI 面板,Show/Hide UV Tools (3D View) UI Panel
UV 工具（UV 编辑器）工具,UV Tools (UV Editor) Tools
显示/隐藏 UV 工具（UV 编辑器） UI 面板,Show/Hide UV Tools (UV Editor) UI Panel
重命名工具,Renaming Tools
显示/隐藏重命名工具 UI 面板,Show/Hide Renaming Tools UI Panel
材质/纹理工具（图像编辑器）,Material/Texture Tools (Image Editor)
显示/隐藏材质/纹理工具（图像编辑器） UI 面板,Show/Hide Material/Texture Tools (Image Editor) UI Panel
材质（属性）工具,Material (Properties) Tools
显示/隐藏导入/导出材质（属性）UI 面板,Show/Hide Import/Export Material (Properties) UI Panel
为导入/导出面板的类别选择名称,Choose a name for the category of the Import/Export panel
"为 ""材质（3D 视图）""面板的类别选择名称",Choose a name for the category of the Material (3D View) panel
"为 ""原点 ""面板的类别选择名称",Choose a name for the category of the Origin panel
"为 ""其他 ""面板的类别选择名称",Choose a name for the category of the Other panel
为重命名面板的类别选择名称,Choose a name for the category of the Rename panel
为 UV（UV 编辑器）面板类别选择一个名称,Choose a name for the category of the UV (UV Editor) panel
为 UV（三维视图）面板类别选择名称,Choose a name for the category of the UV (3D View) panel
为材质（图像编辑器）面板类别选择名称,Choose a name for the category of the Material (Image Editor) panel
面板的可见性和类别：,Visibility and Category for Panels:
面板,Panel
保存目录,Save Directory
PBR 工作流程,PBR Workflow
保存调色板的路径,Path for Save Palettes
导出目录,Export Directory
按材质分离,Separate By Materials
按材质分离对象,Separate Objects By Materials
平滑组,Smooth Groups
导出平滑组,Export Smooth Groups
自定义属性,Custom Properties
导出自定义属性,Export Custom Properties
仅骨骼变形,Deform Bones Only
切线,Tangents
导出切线,Export Tangents
属性,Attributes
导出属性,Export Attributes
应用旋转,Apply Rotation
为导出的模型应用旋转,Apply Rotation for Exported Models
应用于旋转对象,Apply for Rotated Objects
"为非 0,0,0 旋转的对象应用旋转功能","Apply Rotation for Objects with not 0,0,0 rotation"
应用缩放,Apply Scale
为导出模型应用缩放,Apply Scale for Exported Models
应用位置,Apply Location
为导出模型应用位置,Apply Location for Exported Models
为 FBX 设置自定义名称,Set Custom Name for FBX
为 FBX 设置自定义名称,Custom Name for FBX
删除材质,Delete Materials
在导出前删除材质,Delete Materials before Export
三角剖分,Triangulate
导出前对网格进行三角化处理,Triangulate Meshes before Export
导出 FBX 的路径,Path for Export FBX
自定义 FBX 导出选项,Custom FBX Export Options
松散边缘,Loose Edges
切线空间,Tangent Space
自定义道具,Custom Props
导出前合并网格,Combine Meshes before Export
仅变形骨骼,Only Deform Bones
添加骨骼叶片,Add Leaf Bones
删除 Blender 编号,Delete Blender Nums
删除对象名称中的 Blender 数字,Delete Blender Numbers from Object Names
删除以前的编号,Delete Previous Nums
从对象名称中删除之前的数字,Delete Previous Numbers from Object Names
将几何体对齐至原点,Align Geometry To Origin
UV 索引,UV Index
UV 名称,UV Name
项目角度限制,Project Angle Limit
项目岛屿边距,Project Islands Margin
包装质量,Packing Quality
内部法线,Inside Normals
重新计算内部法线,Recalculate Normals Inside
启用调试模式,Enable Debug Mode
对象编号,Numbering of Objects
重命名骨骼,Rename bones
对物体编号,Numbering Objects
方法,Method:
格式：,Format:
设置编号,Set Numbering
添加 .L,Add .L
添加 .R,Add .R
清除 UV 图层,Clear UV layers
清除 UV 图层,Claer UV layers
重命名 UV,Rename UV
添加 UV,Add UV
删除 UV,Remove UV
设置活动 UV,Set Active UV
UV 移动,UV Mover
移动和缩放 UV 岛屿,Move and Scale UV islands
将光标设置为角：,Set Cursor To Corner:
左上角,Top Left
右上角,Top Right
左下,Bottom Left
右下,Bottom Right
缩放和移动,Scale and Move:
缩放,Scale-
向上,UP
缩放+,Scale+
向左,LEFT
向下,DOWN
向右,RIGHT
移动步骤 1/,Move Step   1/
UV 工具,UV Tools
UV ID：,UV ID:
包装,Packing:
角度,Angle:
边距,Margin:
质量,Quality:
清晰 UV 地图,Clear UV Maps
,
通过www.DeepL.com/Translator（免费版）翻译,
