,"""\""""
"""",""Render Output"""
我们的讨论区,Our Discord
筛选类型,Filter Type
按类型过滤 fitlter 列表,Filter the fitlter list by type
白平衡,White Balance
调整图像的整体色调，使其看起来更自然，\n以补偿光源的色温,"Adjusts the overall color tone of an image to make it appear more natural,\ncompensating for the color temperature of the light source"
色温,Temperature
调整图像的色彩平衡，使其更冷（更蓝）或更暖（更橙）。,"Adjusts the color balance of an image,\nmaking it cooler (bluer) or warmer (more orange)"
色调,Tint
调整图像中的绿色-洋红平衡\n补偿某些光源造成的偏色,"Adjusts the green-magenta balance in an image,\ncompensating for color cast from certain light sources"
饱和度,Saturation
增加或减少图像中从鲜艳到灰暗的色彩强度,"Increases or decreases the intensity of colors in an image, from vivid to gray"
色调,Hue
围绕色轮旋转图像中所有颜色的色调,Rotates the hue of all colors in the image around the color wheel
曝光,Exposure
调整图像的整体亮度,Adjusts the overall brightness of the image
对比度,Contrast
修改图像最暗和最亮部分之间的差异\n使阴影更深、高光更亮,"Modifies the difference between the darkest and lightest parts of an image,\nmaking shadows deeper and highlights brighter"
调整图像最亮部分的亮度,Adjusts the brightness of the brightest parts of the image
调整图像最暗部分的亮度,Adjusts the brightness of the darkest parts of the image
白色,Whites
调整图像最亮部分的亮度\n帮助设置白点,"Adjusts the luminance level of the very brightest parts of the image,\nhelping to set the white point"
暗部,Darks
调整图像最暗部分的亮度\n帮助设置黑点,"Adjusts the luminance level of the very darkest parts of the image,\nhelping to set the black point"
滤镜混合,Filter Blend
调整原始图像和滤镜之间的混合程度,Adjusts the blend between the original image and the filter
极值校正,Extreme Value Correction
滤镜可能会在高/低亮度值\n（高于 1 或低于 0）时出现问题。,The filter may run into issues at high/low brightness values (above 1 or below 0).\nThis setting eliminates that by clamping the brightness
锐化,Sharpen
增强图像边缘的对比度，使它们看起来更清晰,"Increases the contrast of edges in the image,\nmaking them appear more defined"
鲜艳度,Vibrance
在不影响已饱和色彩的情况下\n增加图像中较柔和色彩的强度,"Increases the intensity of the more muted colors in the image,\nwithout affecting the already saturated colors"
高光色调,Highlight Tint
改变图像高光区域的色调,Alters the color tint specifically in the highlight regions of an image
阴影色调,Shadow Tint
专门改变图像阴影部分的色调,Alters the color tint specifically in the shadow regions of an image
RGB 曲线强度,RGB Curves Intensity
调整原始图像与曲线之间的混合程度,Adjusts the blend between the original image and the curves
HSV 曲线强度,HSV Curves Intensity
阴影亮度,Shadows Brightness
阴影 色轮强度,Shadows Colorwheel Intensity
调整原始图像与色轮之间的混合度,Adjusts the blend between the original image and the colorwheel
中间调亮度,Midtones Brightness
调整图像中间调的亮度,Adjusts the brightness of the midtones of the image
中间调色轮强度,Midtones Colorwheel Intensity
高光亮度,Highlights Brightness
高光 色轮强度,Highlights Colorwheel Intensity
色彩 1,Color 1
设置图像亮部的颜色,Sets the color for the bright parts of the image
色彩 2,Color 2
设置图像暗部的颜色,Sets the color for the dark parts of the image
混合,Blend
调整原始图像和双色调图像之间的混合程度,Adjusts the blend between the original image and the duotone
阈值,Threshold
调整雾光效果的阈值,Adjusts the threshold for the fog glow effect
大小,Size
调整雾光效果的大小,Adjusts the size of the fog glow effect
强度,Strength
调整雾光效果的强度,Adjusts the strength of the fog glow effect
调整条纹效果的阈值,Adjusts the threshold for the streaks effect
计数,Count
调整条纹的数量,Adjusts the number of streaks
角度,Angle
调整条纹的角度,Adjusts the angle of the streaks
扭曲,Distortion
调整条纹的颜色变化,Adjusts the color modulation of the streaks
渐变,Fade
调整条纹的渐变,Adjusts the fade of the streaks
长度,Length
调整条纹的长度,Adjusts the length of the streaks
调整条纹的强度,Adjusts the strength of the streaks
调整重影效果的阈值,Adjusts the threshold for the ghosts effect
调整重影的颜色调制,Adjusts the color modulation of the ghosts
调整幽灵数量,Adjusts the number of ghosts
调整重影的强度,Adjusts the strength of the ghosts
调整浮雕效果的强度,Adjusts the strength of the emboss effect
步数,Steps
调整海报效果中的色彩步数,Adjusts the number of color steps in the posterize effect
调整叠加效果的强度,Adjusts the strength of the overlay effect
像素大小,Pixel Size
调整马赛克效果中像素的大小,Adjusts the size of the pixels in the mosaic effect
色差量,Amount
调整色差的大小,Adjusts the amount of chromatic aberration
调整渐晕的强度，负值使渐晕更暗\n正值使渐晕更亮,"Adjusts the intensity of the vignette,\nnegative values make the vignette darker,\npositive values make the vignette brighter"
圆度,Roundness
调整渐晕的圆度，正值使渐晕更圆\n负值使渐晕更方,"Adjusts the roundness of the vignette,\npositive values make the vignette rounder,\nnegative values make the vignette more square"
羽化,Feather
调整渐晕效果的模糊程度,Adjusts the blur of the vignette
中点,Midpoint
调整渐晕的中点,Adjusts the midpoint of the vignette
调整红外效果的混合程度,Adjusts the blend of the infrared effect
偏移,Offset
调整红外效果的偏移量,Adjusts the offset of the infrared effect
负片,Negative
调整负片效果的强度,Adjusts the strength of the negative effect
翘曲,Warp
调整扭曲效果的强度,Adjusts the strength of the warp effect
鱼眼,Fisheye
调整鱼眼效果的强度,Adjusts the strength of the fisheye effect
水平,Horizontal
调整水平透视偏移,Adjusts the horizontal perspective shift
垂直,Vertical
调整垂直透视偏移,Adjusts the vertical perspective shift
调整 ISO 效果的强度,Adjusts the strength of the ISO effect
调整 ISO 效果的大小,Adjusts the size of the ISO effect
调整胶片颗粒效果的强度,Adjusts the strength of the filmgrain effect
灰尘比例,Dust Proportion
调整胶片颗粒效果中灰尘的比例,Adjusts the proportion of dust in the filmgrain effect
调整胶片颗粒效果的大小,Adjusts the size of the filmgrain effect
数值,Value
调整半色调效果的偏移量,Adjusts the offset of the halftone effect
三角,Delta
调整半色调效果的亮度范围,Adjusts the brightness range of the halftone effect
调整半色调效果的大小,Adjusts the size of the halftone effect
调整渐变映射效果的混合程度,Adjusts the blend of the gradient map effect
最大尺寸,Max Size
调整虚化效果的\n最大尺寸。,Adjusts the max size of the bokeh effect.\nLarger will be slower
调整虚化效果的聚焦点,Adjusts the focus point of the bokeh effect
范围,Range
调整虚化效果的聚焦范围,Adjusts the focus range of the bokeh effect
图像,Image
用于虚化效果的图像,The image to use for the bokeh effect
旋转,Rotation
调整虚化效果的旋转角度,Adjusts the rotation of the bokeh effect
叶片,Blades
调整虚化效果中的瓣数,Adjusts the number of flaps in the bokeh effect
调整虚化效果的角度,Adjusts the angle of the bokeh effect
圆角,Rounding
调整虚化效果的圆润度,Adjusts the rounding of the bokeh effect
双曲面,Catadioptric
调整虚化效果的折射率（Catadioptric）。,Adjusts the catadioptric of the bokeh effect.\nValues above 0 will adda black circle in the center of the bokeh
Adjusts the lens shift of the bokeh effect.（调整虚化效果的镜头偏移，数值大于 0 将使虚化边缘偏向蓝色，数值小于 0 将使虚化边缘偏向红色,"Adjusts the lens shift of the bokeh effect.\nValues above 0 will shift the bokeh edges to blue,\nvalues below 0 will shift the bokeh edges to red"
使用的虚化类型,The type of bokeh to use
从列表中选择相机,Select a camera from the list
是调整倾斜偏移，还是调整镜头偏移,"Whether to adjust the tilt shift, or the lens shift"
调整垂直倾斜偏移,Adjusts the vertical tilt shift
调整水平倾斜移动,Adjusts the horizontal tilt shift
调整虚化效果的比例,Adjusts the scale of the bokeh effect
曝光补偿,Exposure Compensation
调整虚化效果的曝光补偿。,"Adjusts the exposure compensation of the bokeh effect.\nBokeh naturally darkens the image, this can be used to compensate for that"
预设,Presets
画面拉伸效果的预设,Presets for the frame stretching effect
.SAC 颜色级,.SAC Colorgrade
.SAC 效果,.SAC Effects
.SAC Colorwheel,.SAC Colorwheel
.SAC色彩升级_色轮_阴影,SAC Colorgrade_Colorwheel_Shadows
SAC 色彩升级_色轮_阴影_亮度,SAC Colorgrade_Colorwheel_Shadows_Brightness
.SAC色彩升级_色轮_中间调,SAC Colorgrade_Colorwheel_Midtones
SAC Colorgrade_Colorwheel_Midtones_亮度,SAC Colorgrade_Colorwheel_Midtones_Brightness
SAC 颜色升级_色轮_高光,SAC Colorgrade_Colorwheel_Highlights
SAC 颜色升级_色轮_高光_亮度,SAC Colorgrade_Colorwheel_Highlights_Brightness
.SAC 对比度,.SAC Contrast
对比度,SAC Colorgrade_Light_Contrast
.SAC 曲线,.SAC Curves
.SAC 颜色级_曲线_RGB,SAC Colorgrade_Curves_RGB
.SAC色彩升级_曲线_HSV,SAC Colorgrade_Curves_HSV
.SAC 暗部,.SAC Darks
.SAC暗部,SAC Colorgrade_Light_Darks
.SAC 曝光,.SAC Exposure
.SAC色彩升级_光_曝光,SAC Colorgrade_Light_Exposure
.SAC三个最大值,.SAC Three Max
.SAC 合并,.SAC Combine
.SAC滤色器,.SAC Filter
.SAC 滤色器_红色,SAC Colorgrade_Filter_Red
.SAC滤色器_绿色,SAC Colorgrade_Filter_Green
.SAC滤色器_蓝色,SAC Colorgrade_Filter_Blue
.SAC滤色器_混色,SAC Colorgrade_Filter_Mix
.SAC 高光,.SAC Highlights
.SAC 高光色调,SAC Colorgrade_Light_Highlights
.SAC 高光色调,.SAC HighlightTint
.SAC 高光色调,SAC Colorgrade_Presets_HighlightTint
.SAC 阴影,.SAC Shadows
.SAC 阴影色调,SAC Colorgrade_Light_Shadows
.SAC 阴影色调,.SAC ShadowTint
.SAC 阴影色调,SAC Colorgrade_Presets_ShadowTint
.SAC 锐化,.SAC Sharpen
.SAC 锐化,SAC Colorgrade_Presets_Sharpen
.SAC 温度,.SAC Temperature
颜色温度,SAC Colorgrade_Color_Temperature
.SAC色调,.SAC Tint
色调,SAC Colorgrade_Color_Tint
.SAC 色差,.SAC Vibrance
.SAC Colorgrade_Presets_Vibrance,SAC Colorgrade_Presets_Vibrance
.SAC 白度,.SAC WhiteLevel
.SAC WhiteLevel,SAC Colorgrade_Color_WhiteLevel
.SAC 白度,.SAC Whites
.SAC 白平衡,SAC Colorgrade_Light_Whites
.SAC 虚化,.SAC Bokeh
.SAC 效果_虚化偏移,SAC Effects_Bokeh_Offset
.SAC 效果_虚化范围,SAC Effects_Bokeh_Range
.SAC Effects_Bokeh_Image,SAC Effects_Bokeh_Image
.SAC Effects_虚化_自定义图像,SAC Effects_Bokeh_Custom_Image
SAC Effects_Bokeh_程序,SAC Effects_Bokeh_Procedural
SAC Effects_Bokeh_Switch,SAC Effects_Bokeh_Switch
SAC Effects_Bokeh_ImageSwitch,SAC Effects_Bokeh_ImageSwitch
SAC Effects_Bokeh_旋转,SAC Effects_Bokeh_Rotation
.SAC Effects_Bokeh_Blur,SAC Effects_Bokeh_Blur
.SAC 彩扩,.SAC ChromaticAberration
.SAC Effects_ChromaticAberration,SAC Effects_ChromaticAberration
.SAC 双色调,.SAC Duotone
.SAC Effects_Duotone_Colors,SAC Effects_Duotone_Colors
.SAC 效果_双色调混合,SAC Effects_Duotone_Blend
.SAC 浮雕,.SAC Emboss
.SAC 效果_浮雕,SAC Effects_Emboss
.SAC 胶片纹理,.SAC FilmGrain
.SAC Effects_模糊效果,SAC Effects_FilmGrain_Blur
.SAC Effects_FilmGrain_强度,SAC Effects_FilmGrain_Strength
.SAC 鱼眼,.SAC Fisheye
.SAC效果_鱼眼,SAC Effects_Fisheye
.SAC FogGlow,.SAC FogGlow
.SAC Effects_FogGlow,SAC Effects_FogGlow
.SAC效果_雾光强度,SAC Effects_FogGlowStrength
.SAC 幽灵,.SAC Ghost
.SAC 效果_幽灵,SAC Effects_Ghosts
效果强度,SAC Effects_GhostsStrength
.SAC 梯度图,.SAC GradientMap
.SAC渐变效果图,SAC Effects_GradientMap
.SAC渐变效果图,SAC Effects_GradientMap_Mix
.SAC 半色调,.SAC Halftone
.SAC Effects_Halftone_SizeSave,SAC Effects_Halftone_SizeSave
.SAC效果_半色调_切换,SAC Effects_Halftone_Switch
SAC Effects_Halftone_纹理,SAC Effects_Halftone_Texture
.SAC Effects_Halftone_Value,SAC Effects_Halftone_Value
.SAC效果_半色调_Delta,SAC Effects_Halftone_Delta
.SAC半色调部分,.SAC Halftone part
.SAC 红外线,.SAC Infrared
.SAC 效果_红外线_添加,SAC Effects_Infrared_Add
.SAC 效果_红外线_混音,SAC Effects_Infrared_Mix
.SAC ISO,.SAC ISO
.SAC Effects_ISO_Despeckle,SAC Effects_ISO_Despeckle
.SAC 效果_ISO_添加,SAC Effects_ISO_Add
.SAC负片,.SAC Negative
.SAC 效果_负片,SAC Effects_Negative
.SAC 叠加,.SAC Overlay
.SAC 效果_叠加,SAC Effects_Overlay
.SAC 效果_叠加_纹理,SAC Effects_Overlay_Texture
.SAC 透视偏移,.SAC PerspectiveShift
.SAC 效果_透视位移_角钉,SAC Effects_PerspectiveShift_CornerPin
.SAC 效果_透视平移_刻度,SAC Effects_PerspectiveShift_Scale
.SAC像素化,.SAC Pixelate
.SAC 效果_像素尺寸,SAC Effects_Pixelate_Size
.SAC Posterize,.SAC Posterize
.SAC 效果_海报化,SAC Effects_Posterize
.SAC条纹,.SAC Streaks
.SAC 效果_条纹,SAC Effects_Streaks
.SAC 效果_条纹强度,SAC Effects_StreaksStrength
.SAC曲线,.SAC Viginette
.SAC 效果_曲线的圆度,SAC Effects_Viginette_Roundness
.SAC 效果_曲线强度,SAC Effects_Viginette_Intensity
.SAC 效果_曲线中点,SAC Effects_Viginette_Midpoint
.SAC效果_曲线中点_添加,SAC Effects_Viginette_Midpoint_Add
.SAC效果_轮廓_方向模糊,SAC Effects_Viginette_Directional_Blur
.SAC扭曲,.SAC Warp
.SAC Effects_Warp,SAC Effects_Warp
虚拟操作员,Dummy Operator
超级简单分析,Super Easy Analytics
超级轻松分析》由 Beedy 开发。,Super Easy Analytics is developed by Beedy.
您可以在我们的 Discord 服务器上跟踪开发过程。,You can track the development on our discord server.
加入讨论区,Join Discord
 设置渲染的反弹设置。, Set the bounce settings for the render. 
 计算两幅图像之间的平均亮度差。, Calculate the average brightness difference between two images. 
 绘制每个反弹的渲染时间与亮度差异的对比图。, Plot the render time against brightness difference for each bounce. 
 绘制帧数与渲染时间的对比图。, Plot the frames against render time. 
帧基准,Frame Benchmark
启动单帧基准测试过程,Starts the benchmarking process for a single frame
打开文件夹,Open Folder
打开包含基准图像的文件夹,Open Folder with Benchmarked Images
预览预设,Preview Preset
最快的渲染设置 - 用于预览。,Fastest possible render settings - for previewing.
快速预设,Fast Preset
快速渲染设置--用于快速渲染。,Fast render settings - for quick renders.
默认预置,Default Preset
默认的 Blender 渲染设置。无优化。,Default blender render settings. No optimizations.
高预设值,High Preset
高质量渲染设置 - 用于最终渲染。,High quality render settings - for final renders.
超预设,Ultra Preset
最佳渲染设置--用于趣味渲染。,Best possible render settings - for fun renders.
纹理优化,Texture Optimization
优化纹理，降低内存使用率。,Optimize textures for lower memory usage.
网格优化,Frame Optimization
优化选定对象的网格。(使用修改器）,Optimizes the mesh for selected objects. (uses modifiers)
[SFR]-分解-渲染,[SFR] - Decimate - Render
[SFR] - 简化 - 视口,[SFR] - Decimate - Viewport
移除优化,Remove Optimization
删除所选对象的网格优化。,Removes the mesh optimization for the selected objects.
估算渲染时间,Estimate Render Time
估算动画的渲染时间,Estimates the render time for the animation
超快渲染,Super Fast Render
优化方法,Optimization Method
未找到依赖项。请安装。,Dependencies not found. Please install them.
工作目录,Working Directory
基准分辨率,Benchmark Resolution
场景类型,Scene Type
开始设置：,Starting Settings:
漫反射,Diffuse Bounces
光泽反弹,Glossy Bounces
透射反弹,Transmission Bounces
体积反弹,Volume Bounces
透明反弹,Transparent Bounces
总反弹,Total Bounces
反射浮灰,Reflective Caustics
折射焦散,Refractive Caustics
信息：,Info:
反弹顺序图例：,Bounce Order Legend:
0 = 扩散,0 = Diffuse
1 = 光泽,1 = Glossy
2 = 透射,2 = Transmission
3 = 体积,3 = Volume
4 = 透明,4 = Transparent
5 = 反射焦散,5 = Reflective Caustics
6 = 折射微尘,6 = Refractive Caustics
基准框架,Benchmark Frame
渲染,Render
自适应采样,Adaptive Samples
噪声阈值,Noise Threshold
最小采样,Min Samples
时间限制,Time Limit
最大采样,Max Samples
视口,Viewport
模糊虚化,Blur Caustics
最大直接亮度,Max Direct Brightness
最大间接亮度,Max Indirect Brightness
光树,Light Tree
光线采样阈值,Light Sampling Threshold
自动缩放,Auto Scrambling
缩放距离,Scrambling Distance
视口缩放,Viewport Scrambling
体积渲染步进率,Volume Render Step Rate
体积预览步进率,Volume Preview Step Rate
体积最大步长,Volume Max Steps
使用平铺渲染,Use Tiled Rendering
平铺大小,Tile Size
空间分割,Spacial Splits
优化曲线,Optimize Curves
保留渲染数据,Keep Render Data
简化,Simplify
细分,Subdivision
子粒子,Child Particles
纹理限制,Texture Limit
体积分辨率,Volume Resolution
子粒子渲染,Child Particles Render
凹凸剔除,Frustrum Culling
凹凸边缘,Frustrum Margin
距离剔除,Distance Culling
距离边缘,Distance Margin
直接可见,Directly Visible
间接可见,Indirectly Visible
自定义,Custom
转换为,Convert to:
优化纹理,Optimize Textures
优化框架,Optimize Frame
建议使用的优化方法： 自动,The optimization method to use.\nRecommended: Automatic
基准路径,Benchmark Path
基准的工作目录： //SFR/,The working directory for the benchmark.\nRecommended: //SFR/
以缩放的分辨率渲染场景，以加快基准测试的速度： 5%,"Render the scene at a scaled resolution to speed up the benchmark.\nHigher values will result in a more accurate benchmark, but will take longer to process.\nRecommended: 5%"
基准的阈值。\n较低的值将导致更精确的基准，但处理时间较长： 0.1,"The threshold for the benchmark.\nLower values will result in a more accurate benchmark, but will take longer to process.\nRecommended: 0.1"
添加关键帧,Add Keyframes
添加基准设置的关键帧： 已启用,Keyframes the settings set by the benchmark.\nUseful for animation.\nRecommended: Enabled
根据场景的不同，您可能需要不同的基准方法,"Depending on the scene, you may need a different benchmarking approach"
弹跳顺序,Bounce Order
决定一个动画的弹跳顺序。,"Determines the order in which the bounces are benchmarked.\nRecommended: 4,0,1,2,4,3,5,6"
漫反射 / 反照率,Diffuse / Albedo
漫反射,Diffuse
环境遮蔽,Ambient Occlusion
金属/镜面,Metallic / Specular
金属,Metallic
粗糙度/光泽度,Roughness / Glossiness
粗糙度,Roughness
正常/凹凸,Normal / Bump
正常,Normal
不透明度/透明度,Opacity / Transparency
不透明度,Opacity
半透明,Translucency
发射,Emission
位移,Displacement
自定义 1,Custom 1
自定义 2,Custom 2
创建备份,Create Backup
备份纹理,Backup Textures
转换纹理格式,Converted Texture Format
将纹理转换为的格式： PNG,The format to convert textures to.\nRecommended: PNG
渲染细化,Render Decimation
细化,Decimation
视口细化,Viewport Decimation
动态,Dynamic
最大 质量,Max. Quality
最大,Max
最小 质量,Min. Quality
最低,Min
质量变化,Quality Change
比率,Ratio
渲染系数,Render Factor
视口系数,Viewport Factor
仅选定,Selected Only
选定,Selected
关键帧,Keyframe
持续时间,Duration
子帧,Subframes
要渲染多少个子帧。,How many subframes to render.\n-1 = Auto
分割,Divisions
渲染应分割的次数。,How many times the render should be divided.
.SID 跳过去噪器,.SID Skip Denoiser
.SID 超级去噪器,.SID Super Denoiser
.SID 超级,.SID Super
漫反射去噪器,Diffuse Denoiser
光泽去噪器,Glossy Denoiser
传输去噪器,Transmission Denoiser
体积去噪器,Volume Denoiser
发射去噪器,Emission Denoiser
环境去噪器,Environment Denoiser
.SID 高级去噪器,.SID High Denoiser
.SID 高级,.SID High
.SID 标准,.SID Standard
.SID 时间反照率,.SID Temporal Albedo
.Super 图像去噪器,.Super Image Denoiser
.SID 时域输出,SID Temporal Output
SID 输出,SID Output
.SID 时域中值最小值,.SID Temporal MedianMin
.SID 时域中值最大值,.SID Temporal MedianMax
.SID 时域裁剪,.SID Temporal Crop
.SID 时态对齐,.SID Temporal Align
添加超级图像去噪器,Add Super Image Denoiser
在合成器中添加超级图像去噪器,Add Super Image Denoiser to the compositor
检测通道,Detect Passes
从材质中检测通道,Detect passes from the materials
渲染动画,Render Animation
使用 SID-Temporal 渲染动画,Render Animation with SID-Temporal
打开包含渲染图像的文件夹,Open Folder with Rendered Images
去噪动画,Denoise Animation
使用 SID-Temporal 进行去噪动画处理,Denoise Animation with SID-Temporal
打开包含去噪图像的文件夹,Open Folder with Denoised Images
将帧合并为动画,Combine Frames To Animation
将经过去噪处理的帧合成为动画,Combine Denoised Frames To Animation
sRGB,sRGB
打开包含合并动画的文件夹,Open Folder with Combined Animation
通过,Passes
高级设置,Advanced Settings
质量,Quality
常规设置,General Settings
步骤 1：渲染,Step 1: Render
覆盖现有文件,Overwrite existing files
运动模糊,Motion Blur
TED 滤镜,TED-Filter
第 2 步：去噪,Step 2: Denoise
初始化 SAC,Initialize SAC
视频设置,Video Settings
步骤 3：帧到动画（可选）,Step 3: Frames to Animation (optional)
超级图像去噪器,Super Image Denoiser
去噪类型,Denoiser Type
刷新超级图像去噪器,Refresh Super Image Denoiser
渲染,Rendering
当前渲染,Currently rendering
停止,Stop
用户要求停止,User requested stop
工作总数,Total Jobs
要运行的工作总数,Total number of jobs to run
已完成任务,Jobs Done
已完成的任务数,Number of jobs completed
剩余工作,Jobs Remaining
仍未完成的工作数量,Number of jobs still remaining to complete
%,%
已完成任务的百分比,Percentage of jobs completed
选择去噪类型：图像和动画。,Choose the denoiser type.\nSID: Images and Animations.\nSID-Temporal: Animations.
选择最终去噪图像的质量。影响内存使用率和合成速度,Choose the quality of the final denoised image. Affects memory usage and speed for compositing
漫反射去噪,Denoise the diffuse pass
光泽,Glossy
去噪光泽,Denoise the glossy pass
透射,Transmission
对传输通道进行去噪处理,Denoise the transmission pass
体积,Volume
对体积进行去噪处理,Denoise the volume pass
噪音消除,Denoise the emission pass
环境,Environment
通过环境去噪,Denoise the environment pass
多层 EXR,Multilayer EXR
除了渲染文件外，还会输出一个多层 EXR 文件，其中包含所有经过去噪处理的通道。,"Outputs a multilayer EXR file in addition to the rendered file,\ncontaining all the denoised Passes.\nThis is useful for when you want to do further compositing in another program"
保存多层 EXR 文件的目录,The directory where the multilayer EXR files will be saved
保存渲染和去噪图像的目录,The directory where the rendered and denoised images will be saved
自定义文件名,Custom File Name
渲染和去噪图像的自定义名称。,The custom name of the rendered and denoised images.\nLeave empty for default name.
较小的 EXR 文件,Smaller EXR Files
